id;date;actor1;actor2;numEvent;goldenstein;numMen;numSource;numArticle;avgTone;url
253483021;20130401;SLE;SOM;74;8.5;10;1;10;0;BBC Monitoring
253483058;20130401;SOM;SOM;72;8.3;10;1;10;0;BBC Monitoring
253483174;20130401;SYR;EGY;20;3;1;1;1;2.608695652;http://www.dailystar.com.lb/News/Middle-East/2013/Apr-01/212107-egypts-morsi-seeks-to-keep-strong-ties-with-france.ashx
253483175;20130401;SYR;EGY;20;3;1;1;1;2.608695652;http://www.dailystar.com.lb/News/Middle-East/2013/Apr-01/212107-egypts-morsi-seeks-to-keep-strong-ties-with-france.ashx
253483178;20130401;SYR;FRA;20;3;1;1;1;2.608695652;http://www.dailystar.com.lb/News/Middle-East/2013/Apr-01/212107-egypts-morsi-seeks-to-keep-strong-ties-with-france.ashx
253483179;20130401;SYR;FRA;20;3;1;1;1;2.608695652;http://www.dailystar.com.lb/News/Middle-East/2013/Apr-01/212107-egypts-morsi-seeks-to-keep-strong-ties-with-france.ashx
253483223;20130401;SYR;ISR;20;3;2;1;2;0.284090909;http://www.panarmenian.net/eng/news/152261/
253483224;20130401;SYR;ISR;20;3;2;1;2;0.284090909;http://www.panarmenian.net/eng/news/152261/
253483225;20130401;SYR;ISR;20;3;2;1;2;0;BBC Monitoring
253483300;20130401;SYR;SYR;70;7;2;1;2;0.284090909;http://www.panarmenian.net/eng/news/152261/
253483301;20130401;SYR;SYR;72;8.3;2;1;2;0.284090909;http://www.panarmenian.net/eng/news/152261/
253483319;20130401;SYR;TUR;70;7;5;1;5;0;BBC Monitoring
253483347;20130401;SYR;SYR;20;3;2;1;2;3.167420814;http://www.upi.com/Top_News/Special/2013/04/01/Hezbollah-lobbies-for-status-quo/UPI-70421364822994/
253483422;20130401;THA;AUS;20;3;4;1;4;3.618421053;http://www.bangkokpost.com/breakingnews/343368/australians-find-trouble-in-phuket
253483423;20130401;THA;AUS;20;3;1;1;1;3.618421053;http://www.bangkokpost.com/breakingnews/343368/australians-find-trouble-in-phuket
253483485;20130401;TJK;TJK;21;3.4;2;1;2;0;BBC Monitoring
253483528;20130401;TUN;CHE;71;7.4;1;1;1;3.482920295;http://www.swissinfo.ch/eng/detail/content.html?cid=35363544&#x26
253483529;20130401;TUN;CHE;71;7.4;1;1;1;3.482920295;http://www.swissinfo.ch/eng/detail/content.html?cid=35363544&#x26
253483530;20130401;TUN;CHE;71;7.4;6;1;6;3.482920295;http://www.swissinfo.ch/eng/detail/content.html?cid=35363544&#x26
253483537;20130401;TUN;EUR;71;7.4;10;1;10;2.257336343;http://www.bloomberg.com/news/2013-04-01/tunisia-expects-1-8-billion-imf-accord-by-may.html
253483553;20130401;TUN;TUN;20;3;2;1;2;3.482920295;http://www.swissinfo.ch/eng/detail/content.html?cid=35363544&#x26
253483632;20130401;TUR;ISR;20;3;10;1;10;2.783505155;http://www.worldbulletin.net/?aType=haber&ArticleID=105685
253483645;20130401;TUR;ISR;70;7;2;1;2;2.783505155;http://www.worldbulletin.net/?aType=haber&ArticleID=105685
253483679;20130401;TUR;SYR;70;7;7;1;7;0;BBC Monitoring
253483680;20130401;TUR;SYR;75;7;8;1;8;0;BBC Monitoring
253483681;20130401;TUR;SYR;70;7;6;1;6;0;BBC Monitoring
253483712;20130401;TUR;TUR;73;7.4;8;1;8;1.020408163;http://www.jpost.com/DiplomacyAndPolitics/Article.aspx?id=308361&R=R9
253483713;20130401;TUR;TUR;73;7.4;4;1;4;1.020408163;http://www.jpost.com/DiplomacyAndPolitics/Article.aspx?id=308361&R=R9
253483818;20130401;TZA;TZA;73;7.4;2;1;2;1.425178147;http://allafrica.com/stories/201304010480.html
253484012;20130401;UGA;COD;72;8.3;2;1;2;2.023121387;http://www.news24.com/SouthAfrica/Politics/DAs-CAR-call-misguided-ANC-20130401
253484013;20130401;UGA;COD;72;8.3;4;1;4;2.023121387;http://www.news24.com/SouthAfrica/Politics/DAs-CAR-call-misguided-ANC-20130401
253484039;20130401;UKR;EUR;20;3;10;1;10;3.521126761;http://radioukr.com.ua/en/148/527738/
253484041;20130401;UKR;POL;20;3;5;1;5;2.89017341;http://www.kyivpost.com/content/ukraine-abroad/upicom-ukraine-looks-to-poland-for-more-gas-322582.html
253485384;20130401;USA;AFR;71;7.4;4;1;4;9.384615385;http://www.huffingtonpost.com/michael-lindsay/center-for-entrepreneurial-leadership-gordon-college_b_2974751.html
253485534;20130401;USA;CAN;71;7.4;3;1;3;0.766871166;http://www.montrealgazette.com/business/Investing+Strategy+Canadians+indirectly+dearly+their+mutual/8179663/story.html
253485535;20130401;USA;CAN;71;7.4;2;1;2;0.766871166;http://www.montrealgazette.com/business/Investing+Strategy+Canadians+indirectly+dearly+their+mutual/8179663/story.html
253486008;20130401;USA;EUR;71;7.4;40;1;40;1.624548736;http://www.washingtonpost.com/world/europe/european-industry-flocks-to-cheap-us-gas/2013/04/01/454d06ea-8a2c-11e2-98d9-3012c1cd8d1e_story.html
253486259;20130401;USA;IRL;71;7.4;4;1;4;4.419889503;http://www.journalgazette.net/article/20130401/BIZ/304019986/1031/biz
253486278;20130401;USA;ISR;20;3;4;1;4;2.270011947;http://www.jpost.com/Opinion/Op-EdContributors/Article.aspx?id=308354&R=R7
253486279;20130401;USA;ISR;20;3;2;1;2;2.270011947;http://www.jpost.com/Opinion/Op-EdContributors/Article.aspx?id=308354&R=R7
253486280;20130401;USA;ISR;20;3;4;1;4;4.314720812;http://www.washingtonpost.com/opinions/imagining-the-israeli-palestinian-relationship/2013/04/01/d3bc7b78-98a9-11e2-b5b4-b63027b499de_story.html
253486281;20130401;USA;ISR;20;3;10;1;10;2.270011947;http://www.jpost.com/Opinion/Op-EdContributors/Article.aspx?id=308354&R=R7
253486296;20130401;USA;ITA;20;3;2;1;2;1.733735748;http://newsandinsight.thomsonreuters.com/New_York/News/2013/04_-_April/Appeals_court_says_no_unfair_labor_practices_at_Stella_D_oro/
253486341;20130401;USA;JPN;72;8.3;20;2;20;2.648263316;http://www.globalsecurity.org/wmd/library/news/dprk/2013/dprk-130401-rferl01.htm
253486564;20130401;USA;KOR;72;8.3;2;1;2;2.226345083;http://www.airforcetimes.com/news/2013/04/ap-north-korea-taps-reformist-premier-amid-tension-040113/
253486565;20130401;USA;KOR;72;8.3;2;1;2;2.466793169;http://www.npr.org/templates/story/story.php?storyId=175892374&ft=1&f=
253486566;20130401;USA;KOR;72;8.3;8;3;8;2.531980215;http://www.latimes.com/news/world/worldnow/la-fg-wn-new-north-korean-premier-20130401,0,7718281.story
253486567;20130401;USA;KOR;72;8.3;2;1;2;2.232486528;http://www.dailymail.co.uk/news/article-2302228/South-Korea-vows-strike-quickly-Kim-Jong-Un-attacks-North-US-sends-F-22-stealth-fighter-jets-patrol-skies.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490
253486586;20130401;USA;KOR;72;8.3;18;3;18;2.470176519;http://www.airforcetimes.com/news/2013/04/ap-north-korea-taps-reformist-premier-amid-tension-040113/
253486587;20130401;USA;KOR;72;8.3;6;1;6;2.249488753;http://www.csmonitor.com/USA/Foreign-Policy/2013/0401/North-Korea-US-signals-strength-but-speaks-softly?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+feeds%2Fusa+%28Christian+Science+Monitor+%7C+USA%29
253486819;20130401;USA;GBR;71;7.4;1;1;1;2.133333333;http://www.bloomberg.com/news/2013-04-01/sasco-said-to-hire-ex-dublin-hill-s-joe-howley.html
253486829;20130401;USA;USA;20;3;10;1;10;3.0651341;http://www.chinapost.com.tw/international/americas/2013/04/01/374788/Exxon-works.htm
253486845;20130401;USA;USA;70;7;2;1;2;2.310231023;http://www.wftv.com/news/news/local/9-investigates-utility-companies-thin-lines/nW9BL/
253486846;20130401;USA;USA;71;7.4;6;1;6;3.804994055;http://www.marketwatch.com/story/should-you-buy-a-stock-fund-from-a-bond-guru-2013-04-01?siteid=rss&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A%20marketwatch%2Fpf%20(MarketWatch.com%20-%20Personal%20Finance%20News)
253486854;20130401;USA;USA;20;3;10;1;10;6.074766355;http://www.benzinga.com/news/13/04/3460156/aetna-completes-sale-of-missouri-medicaid-business?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+benzinga+%28Benzinga+News+Feed%29
253486855;20130401;USA;USA;20;3;8;1;8;2.598314607;http://www.informationweek.com/smb/ebusiness/5-data-sources-for-visualization-beginne/240152047
253486856;20130401;USA;USA;20;3;2;1;2;4.651162791;http://techcrunch.com/2013/03/31/google-introduces-gmail-blue-its-completely-blue-because-brown-was-a-disaster/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Techcrunch+%28TechCrunch%29
253486859;20130401;USA;MYS;71;7.4;1;1;1;1.48456057;http://www.bloomberg.com/news/2013-04-01/sac-s-steinberg-backed-as-probe-moves-closer-to-cohen.html
253486860;20130401;USA;MYS;71;7.4;1;1;1;1.48456057;http://www.bloomberg.com/news/2013-04-01/sac-s-steinberg-backed-as-probe-moves-closer-to-cohen.html
253486870;20130401;USA;NMR;20;3;2;1;2;4.49943757;http://www.ibtimes.com/press-release/20130401/dominion-cove-point-liquefaction-project-moving-forward-cements-front-runner
253486937;20130401;USA;PRK;20;3;10;1;10;0;BBC Monitoring
253486975;20130401;USA;QAT;72;8.3;8;1;8;2.877697842;http://www.menafn.com/menafn/1093623559/Qatar-plans-to-buy-USD122m-worth-of-guided-missiles-from-US?src=RSS
253486976;20130401;USA;QAT;72;8.3;2;1;2;2.877697842;http://www.menafn.com/menafn/1093623559/Qatar-plans-to-buy-USD122m-worth-of-guided-missiles-from-US?src=RSS
253487031;20130401;USA;USA;20;3;2;1;2;1.361386139;http://www.contracostatimes.com/breaking-news/ci_22918331/apple-ceo-tim-cook-issues-rare-apology-chinese?source=rss
253487032;20130401;USA;USA;20;3;2;1;2;3.209459459;http://www.bloomberg.com/news/2013-04-01/amazon-overstock-squawk-box-case-sac-accord-compliance.html
253487033;20130401;USA;USA;20;3;12;1;12;3.901550096;http://www.washingtonpost.com/world/asia_pacific/india-rejects-novartis-drug-patent/2013/04/01/bf5f13de-9ab6-11e2-9219-51eb8387e8f1_story.html?wprss=rss_world
253487034;20130401;USA;USA;20;3;4;2;4;4.175157079;http://newsandinsight.thomsonreuters.com/Legal/News/2013/04_-_April/Senate_group_resolves_key_issues_on_immigration_reform__lawmakers/
253487035;20130401;USA;USA;20;3;8;1;8;4.125736739;http://www.reuters.com/article/2013/04/01/us-usa-immigration-idUSBRE92U06T20130401?feedType=RSS&feedName=domesticNews
253487042;20130401;USA;USA;20;3;4;1;4;1.657458564;http://www.statecollege.com/news/local-news/proposed-gas-pipeline-sparks-heated-response-at-state-college-borough-council-meeting-1278460/
253487043;20130401;USA;USA;20;3;1;1;1;1.366742597;http://www.nypost.com/p/news/national/fear_stalks_texas_das_3qZmBTN0q5e28mSnwH3MTP?utm_medium=rss&utm_content=National
253487044;20130401;USA;USA;20;3;6;1;6;2.13592233;http://www.usnews.com/news/newsgram/articles/2013/04/01/aryan-brotherhood-texas-prosecutor-connection-mike-mclelland?s_cid=rss:aryan-brotherhood-texas-prosecutor-connection-mike-mclelland
253487045;20130401;USA;USA;73;7.4;2;1;2;0.985221675;http://www.latimes.com/news/nation/nationnow/la-na-nn-alaska-helicopter-crash-20130401,0,5775175.story
