20160818	NRU	AUS	073
20160818	NRU	AUS	073
20160818	SAU	SAU	071
20160818	SAU	YEM	071
20160818	SAU	YEM	071
20160818	SYR	SYR	073
20160818	SYR	SYR	073
20160818	USA	USA	073
20160818	USA	USA	073
20160818	USA	USA	073
20160818	USA	USA	070
20160818	AUS	AUS	071
20160818	CHN	CHN	070
20160818	JAM	CAN	070
20160818	JAM	CAN	070
20160818	USA	JPN	071
20160818	POL	EGY	070
20160818	UGA	SDN	073
20160818	UGA	SDN	073
20160818	UGA	SSD	073
20160818	USA	POL	071
20160818	USA	POL	071
20160818	USA	USA	070
20160818	USA	USA	071
20160818	USA	USA	071
20160818	MMR	CHN	070
20160818	NGA	NGA	071
20160818	NGA	NGA	071
20160818	PAK	PAK	075
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	071
20160818	USA	USA	070
20160818	USA	USA	071
20160818	USA	USA	071
20160818	FRA	BGD	070
20160818	LBR	LBR	070
20160818	USA	USA	071
20160818	USA	IRN	070
20160818	AFR	CHE	075
20160818	CHN	AFR	070
20160818	CHN	AFR	070
20160818	HTI	USA	071
20160818	JPN	PHL	071
20160818	JPN	PHL	071
20160818	PER	BRA	070
20160818	UKR	UKR	070
20160818	USA	USA	070
20160818	USA	USA	071
20160818	USA	USA	071
20160818	CAN	CAN	070
20160818	KHM	USA	071
20160818	MDV	GBR	073
20160818	NGA	NGA	071
20160818	AUS	IRQ	070
20160818	AUS	IRQ	070
20160818	GBR	SEA	075
20160818	GBR	SEA	075
20160818	IRN	SYR	070
20160818	IRN	SYR	070
20160818	IRN	SYR	070
20160818	IRQ	USA	071
20160818	MEX	ESP	070
20160818	MEX	ESP	070
20160818	PNG	AUS	073
20160818	TUR	SYR	072
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	CHN	MMR	070
20160818	CHN	MMR	070
20160818	KHM	CHE	070
20160818	KHM	CHE	070
20160818	KHM	CHE	071
20160818	KHM	CHE	071
20160818	NGA	SAU	073
20160818	USA	CHN	071
20160818	USA	CHN	071
20160818	USA	MYS	071
20160818	USA	MYS	071
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	071
20160818	AFR	AFR	070
20160818	COD	BRA	070
20160818	COD	BRA	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	CAN	AUS	070
20160818	USA	USA	070
20160818	JPN	GBR	073
20160818	JPN	GBR	073
20160818	NIC	RUS	072
20160818	NIC	RUS	072
20160818	NIC	RUS	072
20160818	RUS	NIC	071
20160818	RUS	NIC	071
20160818	USA	USA	073
20160818	USA	USA	073
20160818	USA	USA	071
20160818	USA	SYR	070
20160818	USA	SYR	070
20160818	USA	UGA	070
20160818	AUS	MEX	071
20160818	AUS	MEX	071
20160818	CAN	MEX	071
20160818	CHN	SYR	070
20160818	CHN	SYR	070
20160818	EUR	USA	073
20160818	EUR	USA	073
20160818	GBR	USA	071
20160818	IDN	IDN	071
20160818	IRL	VCT	071
20160818	JAM	JAM	070
20160818	JPN	PHL	071
20160818	MMR	CHN	071
20160818	SYR	BEL	071
20160818	SYR	BEL	071
20160818	USA	MEX	071
20160818	USA	MEX	071
20160818	USA	USA	071
20160818	USA	USA	071
20160818	USA	USA	071
20160818	USA	USA	070
20160818	USA	USA	070
20160818	IND	ZWE	071
20160818	JPN	PHL	071
20160818	JPN	PHL	071
20160818	JPN	PHL	071
20160818	NOR	NOR	071
20160818	RUS	SWE	070
20160818	RUS	SWE	070
20160818	SWE	SWE	070
20160818	SWE	SWE	070
20160818	SWE	SWE	070
20160818	CHN	GBR	071
20160818	CHN	GBR	071
20160818	CHN	SYR	070
20160818	JPN	GBR	073
20160818	NZL	CHN	070
20160818	USA	AUS	070
20160818	USA	AUS	070
20160818	AUT	CAF	070
20160818	GBR	CAN	071
20160818	IDN	IDN	071
20160818	SAS	MMR	071
20160818	SAS	MMR	071
20160818	SYR	SYR	073
20160818	USA	USA	070
20160818	USA	USA	070
20160818	CHN	CHN	073
20160818	CHN	CHN	073
20160818	HTI	USA	071
20160818	IRN	USA	071
20160818	MEX	USA	075
20160818	MMR	CHN	070
20160818	NMR	USA	070
20160818	PHL	JPN	071
20160818	USA	AFG	071
20160818	AUS	VNM	070
20160818	EGY	PSE	070
20160818	EGY	PSE	070
20160818	EST	UKR	073
20160818	EST	UKR	073
20160818	EST	UKR	073
20160818	EUR	MAR	071
20160818	GBR	GRC	071
20160818	GBR	GRC	071
20160818	EUR	LBY	071
20160818	MMR	CHN	071
20160818	MMR	CHN	071
20160818	MMR	CHN	071
20160818	NPL	AUS	071
20160818	NPL	AUS	071
20160818	NPL	AUS	071
20160818	PHL	PHL	070
20160818	TUN	TUN	071
20160818	USA	USA	070
20160818	USA	USA	070
20160818	USA	USA	070
20160818	AFR	NGA	070
20160818	AUS	NZL	073
20160818	AUS	NZL	073
20160818	CHN	MMR	071
20160818	IRN	IRN	072
20160818	SAU	IRN	072
20160818	SAU	IRN	072
20160818	SAU	IRN	072
20160818	SAU	IRN	072
20160818	SAU	SAU	070
20160818	SAU	SAU	070
20160818	SAU	SAU	071
20160818	SAU	SAU	071
20160818	SAU	SAU	070
20160818	SAU	SAU	071
20160818	USA	USA	073
20160811	USA	LBN	072
20160818	AUS	GBR	071
20160818	AUS	AUS	071
20160818	DEU	PSE	072
20160818	GBR	EUR	071
20160818	NGA	NGA	071
20160818	SRB	SRB	070
20160818	UKR	RUS	071
20160818	UKR	RUS	071
20160818	USA	USA	070
20160719	USA	MYS	071
20160818	AFG	AFG	072
20160818	AFG	AFG	072
20160818	FRA	USA	071
20160818	JPN	JPN	071
20160818	MMR	BGD	072
20160818	MMR	BTN	072
20160818	MMR	NPL	072
20160818	MMR	NPL	072
20160818	CAN	TUR	071
20160818	CAN	TUR	071
20160818	NOR	AFG	073
20160818	NOR	AFG	073
20160818	USA	USA	071
20160719	MYS	MYS	071
20160719	MYS	MYS	071
20160818	CHN	ETH	070
20160818	GBR	EUR	071
20160818	SWE	IRL	071
20160818	YEM	YEM	070
20160818	AFR	BFA	070
20160818	AFR	SLE	070
20160818	AFR	SLE	070
20160818	CHN	KOR	071
20160818	GBR	EUR	071
20160818	GBR	EUR	071
20160818	JOR	LBN	073
20160818	JOR	LBN	073
20160818	JPN	KOR	071
20160818	JPN	KOR	071
20160818	JPN	KOR	071
20160818	KOR	KOR	071
20160818	KOR	KOR	071
20160818	PHL	PHL	070
20160818	RUS	SYR	073
20160818	RUS	SYR	073
20160818	TUR	EUR	070
20160818	USA	USA	070
20160818	CHN	CHN	070
20160818	CHN	CHN	070
20160818	CHN	CHN	070
20160818	CHN	CHN	070
20160818	CHN	MYS	070
20160818	DEU	TUR	071
20160818	DEU	TUR	071
20160818	DEU	TUR	071
20160818	DEU	TUR	071
20160818	DEU	USA	070
20160818	GBR	GBR	071
20160818	FIN	PHL	070
20160818	MYS	SEA	071
20160818	TWN	DOM	071
20160818	USA	USA	070
20160818	USA	CHN	070
20160818	USA	CHN	070
20160818	VNM	SEA	071
20160818	AUS	VNM	070
20160818	AUS	VNM	070
20160818	CHN	MMR	071
20160818	GBR	GBR	071
20160818	GBR	GBR	071
20160818	ISR	EGY	072
20160818	JPN	THA	071
20160818	AFR	ZAF	070
20160818	CHN	AUT	071
20160818	DEU	IRN	070
20160818	GBR	GHA	071
20160818	IND	IND	073
20160818	LBY	USA	075
20160818	LBY	USA	075
20160818	LBY	USA	075
20160818	RUS	USA	075
20160818	RUS	USA	075
20160818	SYR	RUS	073
20160818	SYR	RUS	073
20160818	USA	ESP	070
20160818	USA	SRB	070
20160818	USA	USA	074
20160818	USA	LBY	072
20160818	USA	USA	074
20160818	USA	AUS	071
20160818	USA	USA	070
20150819	USA	USA	075
20160818	EGY	CHN	071
20160818	EGY	CHN	071
20160818	EGY	CHN	071
20160818	FRA	FRA	071
20160818	ISR	IRN	071
20160818	ISR	IRN	071
20160818	JPN	JPN	070
20160818	NGA	NGA	071
20160818	SAU	SAU	070
20160818	SAU	SAU	071
20160818	SYR	LBN	073
20160818	UGA	UGA	070
20160818	UGA	AFR	071
20160818	USA	USA	070
20160719	MYS	MYS	071
20160818	AFR	ZWE	073
20160818	AFR	ZWE	075
20160818	BDI	AFR	074
20160818	CZE	RUS	070
20160818	CZE	SVK	070
20160818	EUR	NOR	071
20160818	IND	IND	073
20160818	OMN	USA	071
20160818	OMN	USA	071
20160818	PRK	CHN	075
20160818	PRK	PRK	075
20160818	SVK	RUS	070
20160818	SYR	EGY	070
20160818	SYR	EGY	070
20160818	ZAF	ZWE	073
20160818	ZAF	ZWE	075
20160818	CHE	CHE	071
20160818	DEU	DEU	071
20160818	GBR	GBR	073
20160818	GBR	GBR	073
20160818	SYR	SYR	073
20160818	UGA	SDN	073
20160818	UGA	SSD	073
20160811	RUS	SYR	072
20160811	RUS	SYR	072
20160811	RUS	SYR	072
20160818	AFR	KEN	071
20160818	BLR	CHN	070
20160818	CHN	BLR	070
20160818	EGY	CHN	071
20160818	EGY	KWT	070
20160818	FRA	USA	071
20160818	FRA	USA	071
20160818	IND	SYR	070
20160818	IND	SYR	070
20160818	IND	SYR	070
20160818	IRQ	KWT	071
20160818	IRQ	KWT	071
20160818	IRQ	KWT	071
20160818	ISR	NMR	075
20160818	ISR	USA	075
20160818	ISR	USA	075
20160818	ISR	ISR	070
20160818	KWT	SYR	070
20160818	KWT	SYR	070
20160818	LBY	LBY	070
20160818	NOR	GBR	071
20160818	SAU	USA	071
20160818	SYR	KWT	070
20160818	SYR	KWT	070
20160818	TUN	TUN	075
20160818	TUN	TUN	075
20160818	CHN	AFR	071
20160818	CHN	CHN	073
20160818	WST	AFG	072
20160818	MDV	USA	073
20160818	PRK	USA	072
20160818	USA	AUS	071
20160818	USA	IDN	071
20160818	USA	IDN	071
20160818	USA	IDN	071
20160818	USA	USA	070
20160818	USA	USA	071
20160818	USA	USA	071
20160818	USA	IDN	071
20160818	USA	IDN	071
20160818	AUS	AUS	071
20160818	AUS	PNG	071
20160818	GBR	GBR	074
20160818	IDN	IRN	073
20160818	IDN	IRN	073
20160818	JPN	JPN	070
20160818	JPN	THA	071
20160818	LVA	EUR	071
20160818	LVA	LVA	070
20160818	USA	USA	071
20160818	USA	USA	071
20160818	MNG	IRQ	074
20160818	MNG	IRQ	074
20160818	USA	IDN	070
20160818	USA	IDN	070
20160818	AUS	PNG	071
20160818	AUS	PNG	071
20160818	CAN	CAN	071
20160818	CAN	CAN	071
20160818	CHN	CHN	070
20160818	IRL	GBR	071
20160818	KGZ	SYR	073
20160818	NGA	NGA	070
20160818	USA	USA	071
20160818	USA	USA	071
20160818	AUS	BEL	070
20160818	AUS	BEL	070
20160818	BWA	BWA	070
20160818	BWA	BWA	070
20160818	GBR	KWT	071
20160818	HTI	USA	071
20160818	HTI	USA	071
20160818	RUS	RUS	073
20160818	SAU	SAU	072
20160818	USA	USA	071
20160818	USA	USA	071
20160818	IRN	IRQ	070
20160818	IRN	IRQ	070
20160818	IRN	IRQ	070
20160818	IRN	SYR	070
20160818	IRN	SYR	070
20160818	TUR	PSE	070
20160818	USA	CAN	075
20160818	USA	CAN	075
20160818	USA	USA	071
20160818	USA	USA	071
