20150919	AUS	IDN	071
20150919	AUS	IDN	071
20150919	IRL	LBY	073
20150919	IRL	LBY	073
20150919	USA	IRQ	070
20150919	ARG	ARG	070
20150919	EUR	GRC	073
20150919	EUR	LUX	073
20150919	GRC	LUX	073
20150919	HUN	GRC	073
20150919	HUN	GRC	073
20150919	HUN	LUX	073
20150919	IND	MYS	073
20150919	ITA	GRC	073
20150919	ITA	GRC	073
20150919	ITA	LUX	073
20150919	NGA	CHN	071
20150919	NGA	CHN	071
20150919	NGA	CHN	071
20150919	NGA	CHN	071
20150919	TUR	TUR	073
20150919	TUR	TUR	073
20150919	TUR	USA	071
20150919	TUR	USA	071
20150919	TUR	USA	071
20150919	TUR	TUR	073
20150919	USA	USA	070
20150912	SGP	IDN	070
20150919	HRV	HUN	073
20150919	HRV	HUN	073
20150919	HRV	HUN	073
20150919	RUS	SYR	073
20150919	USA	USA	070
20150919	USA	USA	070
20150919	IRL	USA	073
20150919	RUS	SYR	073
20150919	USA	USA	070
20150919	USA	USA	071
20150919	USA	USA	071
20150919	AUS	NZL	070
20150919	EUR	HRV	075
20150919	TUR	HUN	070
20150919	USA	USA	071
20150919	USA	USA	071
20150919	AFG	AFG	072
20150919	AFR	USA	071
20150919	AFR	USA	071
20150919	CUB	CUB	071
20150919	ITA	USA	071
20150919	USA	USA	071
20150919	PSE	ISR	072
20150919	SYR	TUR	073
20150919	SYR	TUR	073
20150919	USA	EUR	071
20150919	USA	IRQ	072
20150919	USA	IRQ	072
20150919	USA	IRQ	072
20150919	USA	IRQ	072
20150919	USA	ISR	070
20150919	USA	ISR	070
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	VNM	071
20150919	USA	VNM	071
20150919	USA	USA	071
20150919	USA	AFG	072
20150919	USA	PAK	072
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	USA	072
20150919	ZMB	ZWE	070
20150919	ZMB	ZWE	070
20150919	CHN	GBR	070
20150919	USA	PAK	071
20150919	ARG	USA	075
20150919	ARG	USA	075
20150919	CAN	SYR	070
20150919	CAN	SYR	070
20150919	NGA	CHN	071
20150919	USA	USA	071
20150919	USA	VNM	072
20150919	USA	VNM	072
20150919	USA	VNM	072
20150919	USA	VNM	072
20150919	USA	VNM	072
20150919	USA	VNM	072
20150919	USA	VNM	072
20150919	USA	VNM	072
20150919	USA	USA	071
20150919	USA	USA	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	CHN	NGA	071
20150919	CHN	NGA	071
20150919	NGA	CHN	071
20150919	USA	GRC	073
20150919	RUS	SYR	073
20150919	SYR	VAT	075
20150919	TUR	HUN	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	USA	USA	071
20150919	USA	CHN	070
20150919	DEU	IRL	075
20150919	DZA	TUN	070
20150919	DZA	TUN	070
20150919	EUR	AFG	075
20150919	EUR	AFG	075
20150919	JOR	ISR	073
20150919	JOR	ISR	073
20150919	JOR	ISR	073
20150919	JOR	PSE	073
20150919	KWT	TUN	070
20150919	KWT	TUN	070
20150919	KWT	TUN	070
20150919	LBY	TUN	070
20150919	LBY	TUN	070
20150919	LBY	TUN	070
20150919	MAR	TUN	070
20150919	MAR	TUN	070
20150919	MAR	TUN	070
20150919	NOR	ZWE	071
20150919	NOR	ZWE	071
20150919	NOR	ZWE	071
20150919	NOR	ZWE	071
20150919	SAU	DEU	071
20150919	SAU	DEU	071
20150919	SAU	DEU	071
20150919	SDN	TUN	070
20150919	SDN	TUN	070
20150919	SYR	SYR	071
20150919	EUR	RUS	074
20150919	EUR	RUS	074
20150919	USA	USA	070
20150919	DEU	SYR	073
20150919	USA	SAU	070
20150919	DEU	DEU	073
20150919	DNK	DNK	073
20150919	GRC	SYR	070
20150919	GRC	SYR	070
20150919	GRC	SYR	070
20150919	ITA	SYR	070
20150919	ITA	SYR	070
20150919	NGA	CHN	071
20150919	NZL	IRQ	072
20150919	NZL	IRQ	072
20150919	NZL	IRQ	072
20150919	SYR	SYR	075
20150919	SYR	SYR	075
20150919	TUR	SYR	073
20150919	TUR	SYR	073
20150919	USA	USA	071
20150919	USA	USA	071
20150919	EUR	ITA	075
20150919	EUR	ITA	075
20150919	EUR	ITA	075
20150919	GRC	EUR	071
20150919	GRC	EUR	071
20150919	GRC	EUR	071
20150919	SGP	SEA	071
20150919	SGP	SEA	071
20150919	USA	CAN	071
20150919	CYP	CHE	070
20150919	CYP	CHE	070
20150919	CYP	USA	070
20150919	EUR	DEU	075
20150919	EUR	DEU	075
20150919	EUR	GBR	075
20150919	FRA	EUR	071
20150919	FRA	EUR	071
20150919	HRV	EUR	075
20150919	PAK	SAU	071
20150919	PAK	SAU	071
20150919	SAU	USA	071
20150919	SAU	USA	071
20150919	SAU	USA	071
20150919	SYR	SYR	072
20150919	USA	CHL	073
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	USA	070
20150919	CHE	CHE	071
20150919	SOM	JAM	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	GRC	CHE	073
20150919	ITA	CHE	073
20150919	DEU	FRA	073
20150919	USA	IND	073
20150919	SYR	USA	072
20150919	TUR	TUR	073
20150919	TUR	TUR	073
20150919	ESP	ESP	071
20150919	GBR	FRA	073
20150919	GRC	CHE	073
20150919	ITA	CHE	073
20150919	SYR	VAT	075
20150919	SYR	VAT	075
20150919	USA	USA	070
20150919	GRC	CHE	073
20150919	ITA	CHE	073
20150919	NPL	SYR	072
20150919	NPL	SYR	072
20150919	PSE	ISR	070
20150919	PSE	ISR	070
20150919	PSE	ISR	070
20150919	RUS	SYR	072
20150919	RUS	SYR	072
20150919	RUS	SYR	072
20150919	USA	NPL	071
20150919	USA	USA	070
20150919	CAN	CAN	071
20150919	EUR	HRV	075
20150919	EUR	HRV	075
20150919	MKD	ALB	073
20150919	MKD	ALB	073
20150919	RUS	SYR	073
20150919	TUR	HUN	070
20150919	TUR	TUR	073
20150919	TUR	TUR	073
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	USA	070
20150919	BGD	BGD	073
20150919	SYR	SAU	073
20150919	USA	MCO	070
20150919	USA	UKR	072
20150919	USA	UKR	072
20150919	USA	ETH	071
20150919	USA	SYR	070
20150919	USA	SYR	070
20150919	LBN	GBR	073
20150919	SAU	DEU	075
20150919	USA	AFR	071
20150919	USA	USA	071
20150919	CHN	GBR	070
20150919	SYR	SYR	070
20150919	SYR	SYR	070
20150919	SYR	TUR	070
20150919	TUR	SYR	075
20150919	TUR	SYR	075
20150919	TUR	SYR	075
20140919	LBN	SYR	070
20150919	EUR	ESP	071
20150919	NGA	CHN	071
20150919	NGA	NER	072
20150919	NGA	NER	072
20150919	NGA	NGA	072
20150919	NGA	NGA	072
20150919	SYR	USA	073
20150919	SYR	USA	073
20150919	USA	USA	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	USA	USA	073
20150919	USA	VNM	073
20150919	USA	VNM	073
20150919	USA	VNM	073
20150919	USA	IRN	070
20150919	USA	USA	070
20150919	CHN	ETH	070
20150919	DEU	ISR	073
20150919	DEU	ISR	073
20150919	DEU	ISR	073
20150919	AFG	AFG	071
20150919	AFG	AFG	071
20150919	CAN	CAN	071
20150919	CHN	KOR	070
20150919	CUB	USA	070
20150919	CUB	USA	070
20150919	DEU	SYR	073
20150919	SYR	SYR	072
20150919	SYR	USA	073
20150919	SYR	USA	073
20150919	USA	HRV	075
20150919	USA	HRV	075
20150919	USA	HRV	075
20150919	DEU	ARE	071
20150919	LBY	LBN	073
20150919	BGD	THA	070
20150919	BGD	THA	070
20150919	RUS	SYR	073
20150919	SYR	SYR	070
20150919	SYR	SYR	070
20150919	SYR	SYR	070
20150919	SYR	SYR	070
20150919	SYR	SYR	070
20150919	USA	USA	070
20150919	USA	MYS	070
20150919	CAN	AFR	075
20150919	CAN	AFR	075
20150919	CAN	AFR	075
20150919	GBR	SYR	075
20150919	GBR	SYR	075
20150919	GRC	TUR	075
20150919	GRC	TUR	075
20150919	EUR	AFR	071
20150919	RUS	AFG	070
20150919	RUS	AFG	070
20150919	TUR	TUR	073
20150919	TUR	TUR	073
20150919	USA	AFG	070
20150919	CAN	USA	070
20150919	MYS	CHN	075
20150919	BTN	NPL	070
20150919	BTN	NPL	070
20150919	GRC	SYR	073
20150919	GRC	SYR	073
20150919	GRC	SYR	073
20150919	GRC	SYR	073
20150919	GRC	SYR	073
20150919	GRC	SYR	073
20150919	GRC	SYR	073
20150919	GRC	SYR	073
20150919	GRC	SYR	073
20150919	GRC	SYR	073
20150919	GRC	SYR	073
20150919	GRC	SYR	073
20150919	HUN	HRV	073
20150919	EUR	KEN	071
20150919	RUS	SYR	072
20150919	USA	SYR	070
20150919	ZWE	BWA	073
20150919	CHE	ITA	073
20150919	CHE	ITA	073
20150919	CHE	ITA	073
20150919	CHN	CHN	070
20150919	EUR	HUN	073
20150919	GBR	SYR	075
20150919	GBR	SYR	075
20150919	GBR	SYR	075
20150919	GRC	SYR	073
20150919	GRC	SYR	073
20150919	HUN	HRV	073
20150919	HUN	HRV	073
20150919	KWT	TZA	071
20150919	MYS	USA	071
20150919	SRB	HUN	073
20150919	TUR	TUR	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	GRC	SYR	073
20150919	EUR	KEN	071
20150919	EUR	KEN	071
20150919	NLD	BRN	071
20150919	NLD	BRN	071
20150919	NLD	BRN	071
20150919	NLD	BRN	071
20150919	NLD	BRN	071
20150919	NOR	SYR	071
20150919	NOR	SYR	071
20150919	NZL	NZL	070
20150919	SYR	SYR	072
20150919	USA	USA	070
20150919	CHE	USA	071
20150919	CHE	USA	071
20150919	CYP	CYP	070
20150919	CYP	CYP	070
20150919	EUR	SYR	073
20150919	EUR	SYR	073
20150919	GRC	SYR	075
20150919	GRC	SYR	075
20150919	GRC	SYR	075
20150919	HRV	HUN	073
20150919	EUR	KEN	071
20150919	ITA	LBY	073
20150919	ITA	SYR	073
20150919	ITA	SYR	073
20150919	JOR	SYR	073
20150919	JOR	SYR	073
20150919	LBN	SYR	073
20150919	LBN	SYR	073
20150919	LBN	SYR	073
20150919	LBY	LBY	073
20150919	NGA	HRV	073
20150919	TUR	TUR	073
20150919	TUR	TUR	073
20150919	TUR	TUR	073
20150919	TWN	USA	070
20150919	USA	RUS	070
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	USA	071
20150919	USA	USA	070
20150919	USA	USA	071
20150919	USA	USA	071
20150919	VEN	KNA	071
20150919	DEU	TUR	075
20150919	EUR	TUR	071
20150919	IRL	USA	071
20150919	ITA	LBY	073
20150919	JPN	JPN	070
20150919	NOR	ZWE	071
20150919	SYR	GRC	073
20150919	SYR	GRC	073
20150919	USA	IRL	071
20150919	USA	IRL	071
20150919	USA	IRL	071
20150919	CHE	CHE	070
20150919	CHE	CHE	070
20150919	GRC	SYR	073
20150919	GRC	SYR	073
20150919	EUR	TUR	071
20150919	NGA	NGA	073
20150919	NGA	NGA	073
20150919	RUS	SYR	072
20150919	RUS	SYR	072
20150919	USA	USA	073
20150919	USA	USA	071
20150919	USA	AFG	071
20150919	USA	PAK	071
20150919	USA	USA	070
20150919	USA	USA	071
20150919	CHN	NGA	071
20150919	ITA	LBY	073
20150919	JPN	VNM	070
20150919	JPN	VNM	070
20150919	USA	USA	071
20150919	USA	NGA	071
20150919	GBR	SYR	073
20150919	EUR	TUR	071
20150919	BGR	EUR	071
20150919	CUB	USA	070
20150919	EUR	BGR	071
20150919	USA	ARE	070
20150919	EUR	USA	073
20150919	GBR	RUS	072
20150919	HRV	HRV	073
20150919	HRV	HRV	073
20150919	IND	IND	071
20150919	LBR	SLE	073
20150919	LBR	SLE	073
20150919	MEX	USA	071
20150919	RUS	GBR	072
20150919	RUS	GBR	072
20150919	RUS	RUS	073
20150919	RUS	RUS	071
20150919	RUS	RUS	073
20150919	SYR	GRC	073
20150919	USA	POL	075
20150919	USA	USA	071
20150919	VAT	SYR	075
20150919	EUR	SYR	073
20150919	EUR	TUR	071
20150919	EUR	TUR	071
20150919	LBN	SYR	073
20150919	MCO	SYR	070
20150919	MCO	SYR	070
20150919	SYR	SYR	070
20150919	SYR	SYR	075
20150919	VAT	VAT	071
20150919	EUR	RUS	071
20150919	EUR	SYR	075
20150919	EUR	TUR	071
20150919	USA	EUR	070
20150919	USA	IRQ	071
20150919	USA	IRQ	071
20150919	CAN	GBR	071
20150919	FRA	FRA	073
20150919	EUR	TUR	071
20150919	RUS	RUS	071
20150919	USA	USA	070
20150919	GBR	FRA	075
20150919	GRC	SYR	073
20150919	GRC	SYR	073
20150919	GRC	SYR	073
20150919	EUR	EUR	073
20150919	EUR	TUR	071
20150919	EUR	TUR	071
20150919	USA	FRA	070
20150919	USA	SYR	072
20150919	USA	SYR	072
20150912	SYR	GBR	073
20150912	SYR	GBR	073
20150919	ARM	CHN	070
20150919	CAN	CAN	071
20150919	EUR	TUR	071
20150919	IRL	IRL	070
20150919	USA	ARE	070
20150919	USA	ARE	070
20150919	HUN	HUN	073
20150919	ITA	USA	073
20150919	ITA	USA	073
20150919	RUS	AFR	070
20150919	RUS	AFR	070
20150919	USA	USA	070
20150919	USA	BFA	070
20150919	USA	CAN	070
20150919	USA	CAN	070
20150919	AUS	GBR	070
20150919	AUS	GBR	070
20150919	CAN	GUY	070
20150919	EUR	HUN	075
20150919	EUR	HUN	075
20150919	EUR	HUN	075
20150919	GBR	DEU	072
20150919	EUR	TUR	071
20150919	MCO	DEU	072
20150919	MCO	DEU	072
20150919	RUS	AFR	070
20150919	SWE	FIN	073
20150919	TUR	SYR	075
20150919	TUR	SYR	075
20150919	USA	BFA	070
20150919	USA	BFA	070
20150919	AFR	ZAF	070
20150919	AFR	ZAF	070
20150919	BRA	AFR	070
20150919	CHN	KHM	070
20150919	CHN	CHN	070
20150919	EUR	HUN	073
20150919	GBR	AFR	070
20150919	GBR	AFR	070
20150919	GBR	SYR	072
20150919	GBR	SYR	072
20150919	EUR	GRC	070
20150919	SYR	LBN	070
20150919	SYR	LBN	070
20150919	SYR	SYR	072
20150919	USA	USA	071
20150919	ALB	ALB	070
20150919	IDN	PHL	070
20150919	ISR	SYR	070
20150919	ISR	SYR	070
20150919	KWT	ALB	070
20150919	KWT	ALB	070
20150919	ZAF	AFR	070
20150919	CAN	GBR	070
20150919	CUB	ITA	074
20150919	CUB	ITA	074
20150919	DEU	JOR	071
20150919	EUR	SYR	075
20150919	GBR	RUS	072
20150919	GBR	RUS	072
20150919	NLD	BRN	071
20150919	NLD	BRN	071
20150919	PSE	ISR	072
20150919	SAU	PHL	070
20150919	SAU	PHL	070
20150919	SAU	PHL	070
20150919	TWN	USA	070
20150919	TWN	USA	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	USA	USA	070
20150919	ISR	SYR	073
20150919	ISR	SYR	073
20150919	OMN	TUR	071
20150919	SYR	LBN	071
20150919	SYR	LBN	071
