20140530	EUR	RUS	070
20140530	EUR	SYR	075
20140530	EUR	SYR	075
20140530	EUR	SYR	075
20140530	EUR	USA	073
20140530	FIN	DNK	071
20140530	FIN	DNK	071
20140530	FIN	DNK	071
20140530	FRA	CHN	070
20140530	FRA	FRA	070
20140530	FRA	FRA	070
20140530	FRA	GBR	070
20140530	FRA	GBR	070
20140530	FRA	GBR	070
20140530	FRA	GBR	070
20140530	FRA	ITA	071
20140530	FRA	MCO	071
20140530	FRA	MCO	071
20140530	FRA	MLI	072
20140530	FRA	MLI	072
20140530	FRA	POL	070
20140530	FRA	POL	070
20140530	FRA	SGP	071
20140530	FRA	SGP	071
20140530	FRA	USA	071
20140530	FRA	USA	071
20140530	GBR	EUR	070
20140530	GBR	EUR	071
20140530	GBR	GBR	071
20140530	GBR	GBR	071
20140530	GBR	GMB	070
20140530	GBR	GMB	070
20140530	GBR	IRQ	072
20140530	GBR	IRQ	072
20140530	GBR	IRQ	072
20140530	GBR	MYS	070
20140530	GBR	MYS	070
20140530	GBR	MYS	070
20140530	GBR	RUS	070
20140530	GBR	RUS	070
20140530	GBR	RUS	070
20140530	GBR	SRB	070
20140530	GBR	SRB	070
20140530	GBR	SDN	070
20140530	GBR	USA	071
20140530	GBR	USA	071
20140530	GBR	USA	072
20140530	GBR	USA	072
20140530	GBR	USA	071
20140530	GBR	GBR	073
20140530	GBR	GBR	072
20140530	GHA	AFR	070
20140530	GHA	AFR	070
20140530	GHA	AUS	070
20140530	GHA	AUS	070
20140530	GIN	GIN	071
20140530	GRC	AUS	070
20140530	GRC	AUS	070
20140530	GRC	DEU	071
20140530	GRC	ITA	071
20140530	GRC	ITA	071
20140530	GRC	ITA	071
20140530	GRC	USA	071
20140530	GRC	USA	071
20140530	GRC	USA	071
20140530	GRC	USA	071
20140530	GRC	USA	070
20140530	GRC	USA	070
20140530	GRC	USA	070
20140530	HUN	HUN	070
20140530	IDN	EUR	071
20140530	EUR	RUS	071
20140530	EUR	RUS	071
20140530	EUR	ARM	070
20140530	EUR	BEL	070
20140530	EUR	GBR	070
20140530	EUR	GBR	075
20140530	EUR	GBR	075
20140530	EUR	ISR	071
20140530	EUR	PHL	070
20140530	EUR	PSE	071
20140530	EUR	USA	071
20140530	EUR	USA	071
20140530	SEA	MYS	071
20140530	IRL	EUR	071
20140530	IRL	USA	070
20140530	IRL	USA	070
20140530	IRL	USA	070
20140530	IRL	USA	070
20140530	IRN	AFG	070
20140530	IRN	AUS	070
20140530	IRN	AUS	070
20140530	IRN	BEL	071
20140530	IRN	BEL	071
20140530	IRN	BEL	071
20140530	IRN	FRA	073
20140530	IRN	IRN	070
20140530	IRN	IRN	071
20140530	IRN	IRN	071
20140530	IRN	JPN	071
20140530	IRN	SYR	073
20140530	IRN	USA	070
20140530	IRN	USA	070
20140530	IRN	IRN	070
20140530	IRN	IRN	070
20140530	IRN	IRN	070
20140530	IRN	IRN	070
20140530	IRN	USA	070
20140530	IRQ	AUS	070
20140530	IRQ	AUS	070
20140530	IRQ	IRN	071
20140530	IRQ	IRN	071
20140530	IRQ	TUR	071
20140530	IRQ	TUR	071
20140530	IRQ	TUR	071
20140530	ISR	CHE	071
20140530	ISR	DEU	073
20140530	ISR	DEU	075
20140530	ISR	DEU	075
20140530	ISR	ISR	071
20140530	ISR	JOR	073
20140530	ISR	QAT	071
20140530	ISR	USA	070
20140530	ISR	USA	070
20140530	ISR	USA	070
20140530	ISR	USA	070
20140530	ISR	USA	071
20140530	ISR	USA	071
20140530	ISR	ISR	072
20140530	ISR	PSE	072
20140530	ITA	EUR	071
20140530	ITA	EUR	071
20140530	ITA	EUR	071
20140530	ITA	EUR	071
20140530	ITA	NPL	073
20140530	JOR	IRQ	075
