20161217	POL	GRC	070
20161217	ETH	ITA	071
20161217	ETH	ITA	071
20161217	ITA	ETH	071
20161217	USA	USA	071
20161217	SYR	IRN	072
20161217	SYR	IRN	072
20161217	USA	USA	071
20161217	USA	USA	073
20161217	USA	USA	071
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161117	EUR	USA	072
20161117	EUR	USA	072
20161117	EUR	USA	072
20161217	AUS	AUS	070
20161217	CHN	MDV	071
20161217	CHN	MDV	071
20161217	POL	DEU	072
20161217	POL	DEU	072
20161217	USA	CHL	071
20161217	USA	CHL	071
20161217	USA	POL	072
20161217	USA	USA	071
20161217	USA	USA	070
20161217	CHN	PHL	070
20161217	CHN	PHL	070
20161217	CHN	PHL	070
20161217	DEU	DEU	073
20161217	IRL	NOR	071
20161217	IRN	SYR	070
20161217	NOR	NGA	071
20161217	PSE	ISR	070
20161217	PSE	ISR	070
20161217	SAU	USA	071
20161217	SAU	USA	071
20161217	USA	JAM	071
20161217	USA	QAT	071
20161217	USA	USA	073
20161217	USA	USA	073
20161217	USA	USA	071
20161217	USA	ISR	071
20161217	USA	ISR	071
20161217	USA	USA	070
20161217	USA	USA	070
20161217	FRA	RUS	071
20161217	FRA	RUS	071
20161217	SSD	SSD	074
20161217	USA	POL	072
20161217	USA	POL	072
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	POL	070
20161217	USA	POL	070
20161217	USA	RUS	070
20161217	ESP	JAM	070
20161217	ESP	JAM	070
20161217	USA	USA	070
20161217	BDI	COD	075
20161217	BDI	COD	075
20161217	KNA	KNA	071
20161217	RUS	USA	072
20161217	RUS	USA	072
20161217	RUS	USA	072
20161217	USA	USA	070
20161217	USA	USA	070
20161217	ZAF	COD	075
20161217	CAN	CAN	071
20161217	USA	MEX	073
20161217	USA	MEX	073
20161217	USA	USA	073
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	071
20161217	USA	USA	070
20161217	USA	USA	073
20161217	USA	USA	073
20161217	USA	USA	073
20161217	AUS	AUS	071
20161217	AUS	AUS	070
20161217	BFA	MLI	072
20161217	CHL	CHL	071
20161217	CHN	CHN	071
20161217	PAK	AFG	075
20161217	PAK	AFG	075
20161217	PAK	AFG	075
20161217	PHL	USA	070
20161217	PHL	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161117	USA	USA	071
20161117	USA	USA	071
20161217	GBR	SYR	075
20161217	GBR	SYR	075
20161217	GBR	SYR	071
20161217	GBR	SYR	071
20161217	GBR	SYR	071
20161217	USA	PAK	071
20161217	USA	USA	070
20161217	GRC	USA	070
20161217	GRC	USA	070
20161217	JPN	RUS	071
20161217	SYR	TUR	073
20161217	USA	CHN	071
20161217	USA	CHN	071
20161217	USA	SYR	070
20161217	AFG	AFG	070
20161217	AFG	AFG	070
20161217	KHM	USA	070
20161217	KHM	USA	070
20161217	RUS	JPN	071
20161217	RUS	JPN	071
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	KEN	KEN	071
20161217	PAN	USA	071
20161217	UKR	UKR	070
20161217	USA	USA	071
20161217	USA	USA	073
20161217	BGD	RUS	070
20161217	BGD	RUS	070
20161217	IRN	IRQ	070
20161217	IRN	SYR	070
20161217	IRN	YEM	070
20161217	JOR	IRQ	070
20161217	JOR	IRQ	070
20161217	JOR	IRQ	070
20161217	JOR	SYR	070
20161217	JOR	SYR	070
20161217	JOR	YEM	070
20161217	JOR	YEM	070
20161217	JOR	YEM	070
20161217	PAK	AFG	075
20161217	PAK	AFG	075
20161217	PAK	AFG	075
20161217	PHL	PHL	073
20161217	PHL	PHL	073
20161217	RUS	BGD	070
20161217	RUS	BGD	070
20161217	RUS	BGD	070
20161217	RUS	JPN	071
20161217	SOM	SOM	075
20161217	USA	IRL	071
20161217	USA	JOR	070
20161217	USA	PHL	072
20161217	USA	PHL	072
20161217	USA	PHL	072
20161217	USA	IRL	071
20161217	USA	USA	070
20161217	AUS	AUS	073
20161217	CHN	PAK	071
20161217	CAN	CAN	071
20161217	CAN	CAN	071
20161217	USA	MEX	073
20161217	USA	IRN	071
20161217	USA	USA	070
20161217	IRQ	IRQ	070
20161217	IRQ	IRQ	070
20161217	RUS	JPN	071
20161217	UKR	NLD	071
20161217	UKR	NLD	071
20161217	USA	USA	071
20161217	CHN	CHN	071
20161217	EUR	ISR	070
20161217	EUR	ISR	075
20161217	EUR	PSE	070
20161217	EUR	PSE	070
20161217	EUR	PSE	070
20161217	EUR	PSE	075
20161217	EUR	PSE	075
20161217	PSE	EUR	070
20161217	PSE	EUR	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	AUS	ZWE	070
20161217	DEU	EUR	072
20161217	DEU	DEU	070
20161217	DEU	EUR	072
20161217	PSE	USA	070
20161217	PSE	USA	070
20161217	USA	CHN	073
20161217	USA	CHN	073
20161217	USA	CHN	073
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	073
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	ETH	AFR	071
20161217	ETH	AFR	071
20161217	EUR	UKR	071
20161217	GBR	SWE	075
20161217	GBR	SWE	075
20161217	GBR	SYR	075
20161217	GBR	SYR	075
20161217	GBR	SYR	075
20161217	CHN	CHN	070
20161217	GRC	GRC	071
20161217	JPN	JPN	071
20161217	JPN	JPN	071
20161217	JPN	JPN	070
20161217	MYS	MYS	071
20161217	NOR	LBY	071
20161217	NOR	LBY	071
20161217	NOR	RUS	071
20161217	NOR	RUS	071
20161217	RUS	LBY	071
20161217	RUS	RUS	071
20161217	SDN	SDN	073
20161217	SDN	SSD	073
20161217	SSD	SSD	073
20161217	TUR	NLD	071
20161217	USA	IRL	071
20161217	USA	PHL	070
20161217	USA	PHL	070
20161217	USA	USA	071
20161217	USA	USA	070
20161217	USA	USA	070
20161217	GBR	CAN	071
20161217	RUS	JPN	071
20161217	CHN	MYS	073
20161217	GBR	SAU	072
20161217	GBR	SAU	072
20161217	GBR	SAU	072
20161217	SSD	USA	074
20161217	USA	SYR	072
20161217	USA	SYR	072
20161217	USA	SYR	072
20161217	USA	SYR	072
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	CAN	VEN	070
20161217	CAN	VEN	070
20161217	CHN	AUS	071
20161217	CHN	AUS	071
20161217	FRA	FRA	071
20161217	FRA	FRA	071
20161217	RUS	VEN	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	CHN	PAK	071
20161217	CHN	PAK	071
20161217	GBR	DEU	072
20161217	KEN	KEN	071
20161217	USA	SYR	071
20161217	DEU	EUR	073
20161217	LUX	EUR	073
20161217	LUX	EUR	073
20161217	RUS	SYR	072
20161217	RUS	SYR	072
20161217	USA	USA	071
20161217	FRA	NOR	071
20161217	EUR	BEL	073
20161217	KWT	KWT	071
20161217	KWT	KWT	071
20161217	USA	KWT	071
20161217	USA	SYR	070
20161217	RUS	JPN	071
20161217	RUS	JPN	071
20161217	USA	USA	071
20161217	USA	USA	070
20161217	USA	USA	070
20161217	IRL	IRL	070
20161217	IRN	SYR	073
20161217	JAM	NAM	071
20161217	JAM	USA	071
20161217	PAK	AFG	075
20161217	PAK	AFG	075
20161217	SAU	SAU	071
20161217	SYR	SYR	071
20161217	SYR	SYR	071
20161217	SYR	SYR	071
20161217	SYR	SYR	071
20161217	EUR	ETH	071
20161217	MCO	SSD	074
20161217	USA	AFR	075
20161217	USA	IRN	075
20161217	USA	SSD	074
20161217	USA	USA	071
20161217	USA	USA	071
20161217	USA	USA	070
20161217	USA	USA	071
20161217	USA	USA	071
20161210	GBR	SAU	070
20161217	CHN	YEM	072
20161217	CHN	CHN	072
20161217	GBR	GBR	071
20161217	GBR	SYR	071
20161217	GMB	SDN	074
20161217	GMB	SDN	074
20161217	GMB	SDN	074
20161217	GMB	SDN	074
20161217	GBR	GBR	071
20161217	GBR	YEM	070
20161217	RUS	LBY	070
20161217	RUS	LBY	070
20161217	RUS	LBY	070
20161217	GBR	SOM	075
20161217	GBR	SOM	075
20161217	GBR	SOM	075
20161217	PAK	IND	070
20161217	TJK	AFG	070
20161217	TJK	AFG	070
20161217	TJK	AFG	070
20161217	USA	CHN	073
20161217	USA	CHN	073
20161217	USA	USA	070
20161217	USA	USA	070
20161217	CAN	USA	073
20161217	EUR	CYP	071
20161217	IRN	SYR	073
20161217	ISR	ISR	070
20161217	USA	USA	070
20161217	SSD	SDN	070
20161217	SSD	SDN	070
20161217	SSD	SDN	070
20161217	USA	AFR	071
20161217	USA	NGA	070
20161217	USA	NGA	070
20161217	USA	USA	070
20161217	BRA	PER	071
20161217	BRA	PER	071
20161217	COL	PER	071
20161217	ISR	USA	071
20161217	NOR	NGA	070
20161217	RUS	AFG	071
20161217	RUS	AFG	071
20161217	RUS	SAU	071
20161217	RUS	SAU	071
20161217	RUS	SYR	071
20161217	RUS	SYR	071
20161217	RUS	SYR	071
20161217	RUS	SYR	071
20161217	RUS	SYR	071
20161217	RUS	USA	071
20161217	RUS	USA	071
20161217	SSD	AFR	074
20161217	SSD	KEN	074
20161217	SSD	USA	074
20151218	RUS	FRA	070
20161217	AFR	MOZ	071
20161217	AFR	SEN	070
20161217	AFR	SEN	070
20161217	AFR	SEN	070
20161217	AFR	SLE	070
20161217	AFR	SLE	070
20161217	AFR	SLE	070
20161217	EUR	UKR	071
20161217	IRN	AZE	073
20161217	IRN	USA	073
20161217	ISR	EUR	070
20161217	USA	GBR	071
20161217	PSE	EUR	070
20161217	RUS	FRA	070
20161217	RWA	RWA	071
20161217	SSD	SDN	073
20161217	SSD	SSD	073
20161217	UGA	SDN	073
20161217	UGA	SWE	070
20161217	ZAF	MOZ	071
20161217	ISR	USA	070
20161217	ISR	USA	070
20161217	USA	USA	071
20161217	PAK	PAK	071
20161217	IRL	IRL	071
20161217	SSD	SLE	074
20161217	TUR	SYR	070
20161217	USA	CHN	073
20161217	CHN	YEM	072
20161217	RUS	SYR	070
20161217	RUS	SYR	070
20161217	USA	SYR	070
20161217	BEL	USA	070
20161217	PSE	ISR	071
20161217	PSE	ISR	071
20161217	PSE	ISR	071
20161217	PSE	PSE	071
20161217	GBR	GRC	075
20161217	GBR	GRC	075
20161217	GBR	ITA	075
20161217	GBR	GBR	073
20161217	USA	DEU	072
20161217	USA	DEU	072
20161217	USA	DEU	072
20161217	USA	USA	070
20161217	USA	DEU	072
20161117	AZE	ISR	072
20161217	AFG	AFG	071
20161217	BRA	BRA	070
20161217	RUS	SYR	073
20161217	RUS	SYR	073
20161217	SGP	MYS	071
20161217	SGP	MYS	071
20161217	USA	USA	071
20161217	USA	USA	070
20161217	USA	USA	070
20161217	CHE	EGY	071
20161217	CHE	EGY	071
20161217	CHE	EGY	071
20161217	CHE	EGY	071
20161217	EGY	CHE	071
20161217	EGY	CHE	071
20161217	EGY	CHE	071
20161217	ISR	PSE	072
20161217	USA	LBN	070
20161217	USA	LBN	070
20161217	USA	LBN	070
20161217	USA	USA	071
20161217	USA	USA	071
20161217	LBN	ISR	071
20161217	LBN	ISR	071
20161217	NOR	NOR	071
20161217	NOR	NOR	071
20161217	PSE	ISR	075
20161217	SSD	NGA	074
20161217	TJK	AFG	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	BGD	PAK	073
20161217	BGD	PAK	073
20161217	CHN	PAK	071
20161217	CHN	PAK	071
20161217	EUR	GBR	071
20161217	IRQ	IRQ	072
20161217	USA	USA	071
20161217	USA	USA	071
20161217	USA	USA	070
20161217	USA	USA	070
20161217	IRL	IRL	070
20161217	KEN	RUS	071
20161217	USA	GBR	074
20161217	USA	GBR	074
20161217	USA	IRL	070
20161217	USA	CAN	070
20161217	USA	CAN	070
20161217	DEU	SYR	070
20161217	SYR	RUS	070
20161217	SYR	RUS	070
20161217	SYR	RUS	070
20161217	TUR	SYR	074
20161217	UGA	SDN	073
20161217	UGA	SSD	073
20161217	UGA	SSD	073
20161217	AFR	ETH	071
20161217	ETH	CHN	071
20161217	ETH	CHN	071
20161217	ETH	CHN	071
20161217	USA	USA	071
20161217	USA	USA	070
20161217	USA	USA	070
20161210	USA	USA	071
20161217	AUS	AUS	070
20161217	CAN	CAN	072
20161217	CAN	CAN	072
20161217	CAN	CAN	072
20161217	ETH	CHN	071
20161217	ETH	CHN	071
20161217	ETH	CHN	071
20161217	FRA	SYR	073
20161217	GBR	SYR	073
20161217	GBR	SYR	073
20161217	GBR	SYR	073
20161217	PAK	AFG	075
20161217	USA	EUR	071
20161217	USA	SYR	073
20161217	USA	SYR	073
20161217	USA	USA	071
20161217	USA	USA	071
20161217	USA	USA	071
20161217	USA	USA	071
20161217	USA	USA	071
20161217	USA	DEU	070
20161217	GBR	SYR	075
20161217	GBR	SYR	075
20161217	TJK	AFG	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	AFG	PAK	070
20161217	AFG	PAK	070
20161217	AFG	PAK	070
20161217	AFG	PAK	070
20161217	BGD	BGD	070
20161217	BGD	BGD	070
20161217	SYR	SYR	071
20161217	USA	SYR	072
20161217	USA	SYR	073
20161217	USA	SYR	073
20161217	USA	SYR	073
20161217	USA	IRN	071
20161217	GBR	GBR	071
20161217	GBR	SYR	075
20161217	GBR	SYR	075
20161217	GBR	SYR	075
20161217	TZA	CAN	075
20161217	USA	USA	070
20161217	CHN	CHN	072
20161217	CHN	CHN	072
20161217	FRA	SYR	073
20161217	GBR	SYR	073
20161217	IRN	IRQ	070
20161217	IRN	IRQ	070
20161217	IRN	IRQ	070
20161217	RUS	SYR	073
20161217	RUS	SYR	073
20161217	SYR	SYR	073
20161217	USA	SYR	073
20161217	ARE	YEM	070
20161217	ARE	YEM	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	CHN	CHN	072
20161217	USA	CAN	071
20161217	USA	PRT	071
20161217	USA	PRT	071
20161217	USA	USA	070
20161217	USA	USA	070
20161217	CHN	BRN	073
20161217	CHN	BRN	073
20161217	CHN	BRN	073
20161217	CHN	CHN	073
20161217	PRK	CHN	070
20161217	RUS	SYR	073
20161217	RUS	SYR	073
20161217	RUS	SYR	073
20161217	USA	CHN	070
20161217	USA	CHN	070
20161217	AUS	RUS	071
20161217	USA	JPN	071
20161217	USA	USA	071
20161217	ARE	NOR	071
20161217	ARE	NOR	071
20161217	ARE	NOR	071
20161217	SGP	SGP	070
20161217	TZA	CAN	075
20161217	TZA	CAN	075
20161217	TZA	CAN	075
20161217	USA	USA	070
20161217	ZMB	CAN	071
20161217	AFG	AFG	070
20161217	AUS	ARE	071
20161217	CHN	CHN	071
20161217	USA	USA	071
20161217	USA	CHN	071
20161217	USA	CHN	071
20161217	USA	USA	071
20161217	USA	USA	073
20161217	USA	USA	071
20161217	USA	JPN	070
20161217	USA	RUS	070
20161217	CAN	CAN	071
20161217	CAN	PER	075
20161217	ESP	ISR	070
20161217	ESP	PSE	070
20161217	FRA	SYR	073
20161217	USA	USA	071
20161217	CAN	BGD	071
20161217	CAN	CAN	070
20161217	CAN	SYR	075
20161217	CHN	ARE	071
20161217	CHN	CHN	073
20161217	CHN	CHN	073
20161217	DNK	BGD	070
20161217	LKA	LKA	075
20161217	NZL	NZL	072
20161217	RUS	SYR	073
20161217	NGA	NGA	071
20161217	USA	TUR	070
20161217	USA	TUR	070
20161217	USA	USA	070
20161217	CHN	USA	072
20161217	CHN	USA	072
20161217	GBR	GBR	070
20161217	ITA	ITA	073
20161217	USA	DEU	073
20161217	USA	DEU	073
20161217	USA	USA	071
20161217	USA	USA	071
20161217	USA	USA	073
20161217	USA	USA	070
20151218	IRN	SYR	073
20151218	IRN	SYR	073
20161217	AUS	SYR	073
20161217	AUS	SYR	073
20161217	CHN	PHL	073
20161217	CHN	PHL	073
20161217	DEU	USA	070
20161217	IRN	SYR	070
20161217	IRN	SYR	070
20161217	IRN	SYR	073
20161217	IRN	SYR	073
20161217	IRN	SYR	073
20161217	IRN	SYR	073
20161217	IRN	SYR	070
20161217	ISR	ISR	070
20161217	ISR	ISR	070
20161217	ISR	PSE	070
20161217	ISR	PSE	070
20161217	NMR	USA	070
20161217	RUS	JPN	071
20161217	USA	AUS	070
20161217	USA	USA	070
20161217	USA	DEU	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	AFR	ZAF	071
20161217	EUR	ITA	075
20161217	EUR	ITA	075
20161217	FRA	SYR	073
20161217	GBR	SYR	073
20161217	GBR	SYR	073
20161217	GRC	IRL	073
20161217	GRC	IRL	073
20161217	IRN	EUR	071
20161217	IRN	EUR	071
20161217	IRN	USA	071
20161217	IRN	USA	071
20161217	NZL	PHL	071
20161217	PHL	NZL	071
20161217	PHL	NZL	071
20161217	PHL	NZL	071
20161217	PHL	NZL	071
20161217	USA	SYR	073
20161217	USA	SYR	073
20161217	USA	USA	070
20161210	USA	USA	070
20161217	AUS	ZWE	070
20161217	CAN	GBR	073
20161217	CAN	GBR	073
20161217	CHN	PHL	070
20161217	ITA	USA	070
20161217	ITA	USA	070
20161216	KWT	MYS	070
20161217	BGD	PAK	075
20161217	BGD	PAK	075
20161217	IND	PAK	075
20161217	IND	PAK	075
20161217	IND	PAK	075
20161217	ITA	ITA	071
20161217	KWT	SYR	070
20161217	KWT	SYR	070
20161217	KWT	SYR	070
20161217	RUS	GBR	070
20161217	RUS	GBR	070
20161217	RUS	RUS	071
20161217	RUS	UKR	071
20161217	RUS	UKR	071
20161217	RUS	GBR	070
20161217	USA	CUB	071
20161217	USA	CUB	071
20161217	IRL	IRL	073
20161217	VUT	VUT	071
20161217	BFA	FRA	072
20161217	BFA	FRA	072
20161217	EUR	EUR	071
20161217	IRN	SYR	072
20161217	IRN	SYR	072
20161217	NMR	USA	070
20161217	SYR	MYS	073
20161217	SAU	QAT	071
20161217	SAU	QAT	071
20161217	SAU	QAT	071
20161217	SAU	USA	071
20161217	SAU	USA	071
20161217	USA	MCO	070
20161217	USA	USA	071
20161217	FIN	UKR	072
20161217	FIN	UKR	072
20161217	GBR	DEU	071
20161217	GBR	DEU	071
20161217	IRL	IRL	073
20161217	SAU	USA	071
20161217	SAU	USA	071
20161217	SAU	USA	071
20161217	USA	USA	070
20161217	USA	USA	070
20161217	DNK	CHN	071
20161217	GBR	EUR	071
20161217	GBR	GBR	071
20161217	GBR	GBR	071
20161217	USA	JPN	071
20161217	PAN	USA	070
20161217	PAN	USA	070
20161217	PAN	USA	070
20161217	RUS	SYR	072
20161217	RUS	SYR	072
20161217	RUS	SYR	072
20161217	USA	DEU	073
20161217	USA	DEU	073
20161217	USA	USA	073
20161217	USA	USA	073
20161217	USA	USA	070
20161217	USA	USA	073
20161217	USA	DEU	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	USA	USA	070
20161217	EUR	GBR	071
20161217	QAT	SYR	073
20161217	QAT	SYR	073
20161217	USA	USA	070
20161217	IRN	IRQ	072
20161217	IRN	IRQ	072
20161217	USA	DEU	070
20161217	USA	PHL	070
20161217	USA	USA	071
20161217	USA	USA	070
20151218	RUS	FRA	070
20151218	RUS	FRA	070
20151218	RUS	FRA	070
20151218	RUS	FRA	070
20161217	CHN	USA	070
20161217	CHN	USA	070
20161217	IRL	GBR	071
20161217	IRL	GBR	071
20161217	RUS	FRA	070
20161217	RUS	FRA	070
20161217	USA	GRC	071
20161217	USA	SEN	070
20161217	DNK	USA	071
20161217	IRL	USA	070
20161217	ISR	CHN	071
20161217	USA	RUS	070
20161217	USA	RUS	070
20161217	USA	USA	071
20161217	USA	USA	071
20161217	USA	USA	071
20161217	KEN	CHN	071
20161217	KEN	CHN	071
