20150130	DEU	ALB	072
20150130	DEU	DEU	071
20150130	DEU	ESP	070
20150130	DEU	ESP	075
20150130	DEU	ESP	075
20150130	DEU	ESP	075
20150130	DEU	FRA	070
20150130	DEU	FRA	070
20150130	DEU	GRC	071
20150130	DEU	GRC	071
20150130	DEU	GRC	071
20150130	DEU	GRC	071
20150130	DEU	GRC	071
20150130	DEU	EUR	070
20150130	DEU	IRQ	072
20150130	DEU	MCO	071
20150130	DEU	NLD	070
20150130	DEU	NLD	070
20150130	DEU	NLD	070
20150130	DEU	NLD	070
20150130	DEU	RUS	071
20150130	DEU	TUR	071
20150130	DEU	TUR	071
20150130	DEU	TUR	071
20150130	DEU	TUR	071
20150130	DEU	USA	071
20150130	DEU	USA	071
20150130	DEU	DEU	070
20150130	DNK	EUR	071
20150130	DNK	NLD	071
20150130	EGY	BHR	072
20150130	EGY	USA	070
20150130	EGY	USA	070
20150130	ESP	FRA	071
20150130	ESP	FRA	071
20150130	ESP	GBR	071
20150130	ESP	GBR	071
20150130	ESP	EUR	071
20150130	ESP	EUR	071
20150130	ETH	ETH	070
20150130	ETH	ETH	070
20150130	ETH	ETH	070
20150130	ETH	ETH	070
20150130	ETH	AFR	071
20150130	ETH	AFR	071
20150130	ETH	AFR	071
20150130	ETH	AFR	071
20150130	ETH	ZMB	070
20150130	ETH	ZMB	070
20150130	EUR	AUS	071
20150130	EUR	AUT	071
20150130	EUR	IRL	071
20150130	EUR	QAT	071
20150130	EUR	QAT	071
20150130	EUR	USA	070
20150130	EUR	USA	070
20150130	EUR	USA	071
20150130	FIN	EUR	071
20150130	FJI	FJI	070
20150130	FJI	FJI	070
20150130	FRA	DEU	070
20150130	FRA	DEU	070
20150130	FRA	ESP	071
20150130	FRA	EUR	071
20150130	FRA	EUR	071
20150130	FRA	EUR	072
20150130	FRA	FRA	071
20150130	FRA	FRA	072
20150130	FRA	GBR	071
20150130	FRA	GBR	071
20150130	FRA	GRC	071
20150130	FRA	GRC	071
20150130	FRA	GRC	071
20150130	FRA	MLI	072
20150130	FRA	EUR	071
20150130	FRA	FRA	071
20150130	FRA	FRA	071
20150130	FRA	VNM	070
20150130	GBR	CAN	070
20150130	GBR	CAN	070
20150130	GBR	CAN	070
20150130	GBR	CAN	070
20150130	GBR	CAN	071
20150130	GBR	EUR	071
20150130	GBR	GBR	071
20150130	GBR	GBR	071
20150130	GBR	GBR	071
20150130	GBR	EUR	070
20150130	GBR	EUR	070
20150130	GBR	IRL	073
20150130	GBR	IRL	073
20150130	GBR	KAZ	071
20150130	GBR	LKA	070
20150130	GBR	LKA	070
20150130	GBR	LKA	071
20150130	GBR	LKA	071
20150130	GBR	NOR	070
20150130	GBR	NOR	070
20150130	GBR	RUS	075
20150130	GBR	RUS	075
20150130	GBR	RUS	075
20150130	GBR	SYR	070
20150130	GBR	SYR	070
20150130	GBR	TUR	073
20150130	GBR	USA	070
20150130	GBR	USA	070
20150130	GBR	USA	071
20150130	GBR	USA	071
20150130	GBR	USA	071
20150130	GBR	USA	071
20150130	GBR	USA	071
20150130	GBR	USA	071
20150130	GBR	AUS	075
20150130	GBR	AUS	075
20150130	GBR	AUS	075
20150130	GBR	ECU	075
20150130	GBR	ECU	075
20150130	GBR	ECU	075
20150130	GBR	GRC	071
20150130	GHA	AFR	071
20150130	GHA	CAN	070
20150130	GHA	CAN	070
20150130	GHA	GHA	070
20150130	GIN	AFR	070
20150130	GIN	AFR	070
20150130	GRC	BEL	070
20150130	GRC	BEL	070
20150130	GRC	DEU	071
20150130	GRC	EUR	073
20150130	GRC	FRA	071
20150130	GRC	FRA	071
20150130	GRC	GRC	071
20150130	GRC	GRC	071
20150130	GRC	GRC	072
20150130	GRC	GRC	072
20150130	GRC	USA	070
20150130	GRC	GRC	071
20150130	GRC	GRC	073
20150130	GRC	GRC	072
20150130	GRC	GRC	072
20150130	GTM	USA	070
20150130	GTM	USA	070
20150130	GTM	USA	070
20150130	GUY	USA	071
20150130	GUY	USA	071
20150130	HND	USA	070
20150130	HND	USA	070
20150130	HND	USA	070
20150130	HND	USA	070
20150130	HTI	USA	071
20150130	HTI	USA	071
20150130	AFR	EUR	071
20150130	AFR	NGA	072
20150130	AFR	NGA	072
20150130	AFR	NGA	072
20150130	AFR	NGA	072
20150130	AFR	NGA	072
20150130	AFR	NGA	072
20150130	AFR	USA	072
20150130	AFR	USA	072
20150130	AFR	USA	072
20150130	AFR	USA	072
20150130	AFR	USA	072
20150130	AFR	USA	072
20150130	AFR	USA	072
20150130	AFR	USA	072
20150130	AFR	USA	072
20150130	AFR	USA	072
20150130	AFR	USA	072
20150130	AFR	USA	072
20150130	AFR	USA	072
20150130	AFR	USA	072
20150130	AFR	USA	072
20150130	EUR	BEL	071
20150130	EUR	CAN	070
20150130	EUR	CAN	070
20150130	EUR	EUR	071
20150130	EUR	EUR	071
20150130	EUR	GBR	070
20150130	EUR	GBR	070
20150130	EUR	IRL	070
20150130	EUR	IRL	071
