20130723	GBR	NLD	071
20130723	GBR	NOR	071
20130723	GBR	NPL	071
20130723	GBR	SYR	071
20130723	GBR	SYR	071
20130723	GBR	SYR	071
20130723	GBR	USA	070
20130723	GBR	USA	070
20130723	GBR	USA	070
20130723	GBR	USA	070
20130723	GBR	USA	070
20130723	GBR	USA	070
20130723	GBR	USA	070
20130723	GBR	USA	071
20130723	GBR	CAN	073
20130723	GBR	GBR	071
20130723	GBR	GBR	070
20130723	GBR	GBR	073
20130723	GHA	AFR	071
20130723	GRC	GRC	071
20130723	GRC	GRC	071
20130723	HRV	EUR	071
20130723	HRV	MDG	071
20130723	HRV	MDG	071
20130723	HUN	HUN	070
20130723	HUN	HUN	070
20130723	IDN	AUS	073
20130723	IDN	AUS	073
20130723	IDN	AUS	073
20130723	IDN	IDN	071
20130723	IDN	IDN	073
20130723	IDN	IDN	073
20130723	AFR	AFR	071
20130723	EUR	BEL	072
20130723	EUR	ITA	071
20130723	EUR	ITA	071
20130723	EUR	LBN	070
20130723	EUR	SOM	070
20130723	EUR	USA	071
20130723	WST	AFG	073
20130723	IND	IND	070
20130723	IND	IND	071
20130723	IND	RUS	071
20130723	IND	IND	073
20130723	IRL	EST	071
20130723	IRL	EUR	070
20130723	IRL	SGP	071
20130723	IRL	SGP	071
20130723	IRL	USA	070
20130723	IRN	IRQ	070
20130723	IRN	PSE	070
20130723	IRN	PSE	070
20130723	IRN	SAU	073
20130723	IRN	SAU	073
20130723	IRN	SAU	073
20130723	IRN	USA	070
20130723	IRN	USA	070
20130723	IRN	USA	071
20130723	IRN	YEM	072
20130723	IRQ	USA	073
20130723	IRQ	USA	073
20130723	ISR	CAN	071
20130723	ISR	CAN	071
20130723	ISR	GBR	071
20130723	ISR	GBR	071
20130723	ISR	EUR	071
20130723	ISR	SYR	072
20130723	ISR	USA	071
20130723	ISR	USA	071
20130723	ISR	USA	071
20130723	ISR	EUR	071
20130723	ITA	HRV	071
20130723	ITA	HRV	071
20130723	ITA	IRL	073
20130723	ITA	QAT	071
20130723	ITA	QAT	071
20130723	ITA	SYR	073
20130723	ITA	SYR	073
20130723	ITA	TUR	071
20130723	JOR	ARE	070
20130723	JOR	IRN	071
20130723	JOR	USA	071
20130723	JOR	USA	071
20130723	JOR	USA	071
20130723	JPN	JPN	071
20130723	JPN	JPN	071
20130723	JPN	JPN	071
20130723	JPN	JPN	071
20130723	JPN	JPN	071
20130723	KEN	CAF	070
20130723	KEN	CAF	070
20130723	KEN	CAF	070
20130723	KEN	CAF	070
20130723	KEN	CAF	070
20130723	KEN	CAF	070
20130723	KHM	KHM	071
20130723	KWT	EGY	070
20130723	KWT	EGY	070
20130723	KWT	CHN	071
20130723	LBN	IDN	072
20130723	LBN	ISR	070
20130723	LBN	ISR	074
20130723	LBN	LBN	072
20130723	LBN	USA	070
20130723	LBN	USA	070
20130723	LBN	USA	070
20130723	LKA	AFR	070
20130723	LKA	AFR	070
20130723	LKA	GBR	071
20130723	LUX	EUR	071
20130723	LUX	USA	071
20130723	LUX	USA	071
20130723	MEX	ESP	070
20130723	MEX	IND	070
20130723	MEX	IND	070
20130723	MEX	USA	070
20130723	MHL	USA	071
20130723	MHL	USA	071
20130723	MLI	BEL	071
20130723	MLI	BEL	071
20130723	MLI	MLI	072
20130723	CHE	GBR	071
20130723	CHE	GBR	071
20130723	CHE	GBR	071
20130723	USA	GBR	071
20130723	USA	USA	070
20130723	USA	USA	070
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	071
20130723	USA	USA	072
20130723	USA	USA	071
20130723	USA	COL	073
20130723	USA	USA	073
20130723	USA	USA	073
20130723	USA	USA	073
20130723	USA	GRC	071
20130723	USA	USA	071
20130723	MOZ	MOZ	072
20130723	MOZ	MOZ	072
20130723	MOZ	MOZ	072
20130723	MYS	MYS	071
20130723	NER	MLI	073
20130723	NER	MLI	073
20130723	NGA	GBR	073
20130723	NGA	GBR	073
20130723	NGA	GBR	073
20130723	NGA	MYS	070
20130723	NGA	NGA	070
20130723	NGA	NGA	070
20130723	GBR	EUR	071
20130723	IRL	IRL	071
20130723	NIC	BOL	075
20130723	NIC	BOL	075
20130723	NIC	BOL	075
20130723	NIC	BOL	075
20130723	NIC	RUS	075
20130723	NIC	RUS	075
20130723	NIC	RUS	075
20130723	NIC	RUS	075
20130723	NIC	RUS	075
20130723	NIC	USA	075
20130723	NIC	USA	075
20130723	NIC	USA	075
20130723	NIC	VEN	075
20130723	NIC	VEN	075
20130723	NIC	VEN	075
20130723	NIC	VEN	075
20130723	NOR	GBR	071
20130723	NOR	GBR	071
20130723	NOR	GBR	071
20130723	NOR	GBR	071
20130723	NOR	GBR	071
20130723	NOR	NOR	071
20130723	NOR	NOR	071
20130723	NPL	CHN	070
20130723	NPL	CHN	070
20130723	OMN	OMN	070
20130723	PAK	IND	071
20130723	PAK	IRN	073
20130723	PAK	IRN	073
20130723	PAK	PAK	070
20130723	PAK	SAU	071
20130723	PAK	SYR	070
20130723	PAK	SYR	070
20130723	PAK	SYR	070
20130723	PAK	ARE	070
20130723	PRK	CHN	073
20130723	PRK	CHN	073
20130723	PRK	PRK	073
20130723	QAT	IND	071
20130723	QAT	IND	071
20130723	QAT	IND	071
20130723	QAT	ITA	071
20130723	QAT	QAT	071
20130723	QAT	QAT	071
20130723	QAT	USA	071
20130723	QAT	QAT	071
20130723	RUS	CHN	074
20130723	RUS	EUR	071
20130723	RUS	NLD	071
20130723	RUS	NLD	071
20130723	RUS	RUS	071
20130723	RUS	SYR	071
20130723	RUS	UKR	071
20130723	RUS	USA	071
20130723	RUS	USA	075
20130723	RUS	USA	075
20130723	RUS	USA	075
20130723	RUS	USA	070
20130723	RUS	VEN	072
20130723	RWA	AFR	071
20130723	RWA	SOM	072
20130723	RWA	SOM	072
20130723	SAU	AFG	071
20130723	SAU	AFG	071
20130723	SAU	EGY	071
20130723	SAU	EGY	071
20130723	SAU	EGY	071
20130723	SAU	EGY	071
20130723	SAU	ISR	071
20130723	SAU	USA	071
20130723	SGP	NLD	071
20130723	SGP	NLD	071
20130723	SGP	SGP	071
20130723	SLV	ESP	070
20130723	SOM	DEU	071
20130723	SOM	DEU	071
20130723	SOM	DEU	071
20130723	SOM	DEU	071
20130723	SWE	EUR	071
20130723	SWE	EUR	071
20130723	SYR	EUR	071
20130723	SYR	SYR	070
20130723	SYR	SYR	070
20130723	THA	USA	073
20130723	THA	USA	071
20130723	THA	USA	071
20130723	THA	USA	071
20130723	THA	USA	071
20130723	THA	USA	071
20130723	TJK	USA	071
20130723	TZA	RWA	072
20130723	UGA	CAF	070
20130723	UGA	CAF	070
20130723	UGA	CAF	070
20130723	UGA	CAF	070
20130723	UGA	CAF	070
20130723	USA	AFG	073
20130723	USA	AFR	073
20130723	USA	AFR	073
20130723	USA	ARE	071
20130723	USA	ARG	073
20130723	USA	AUS	073
20130723	USA	CAN	071
20130723	USA	CAN	071
20130723	USA	CHE	070
20130723	USA	CHN	070
20130723	USA	CHN	070
20130723	USA	CHN	070
20130723	USA	CHN	070
20130723	USA	CHN	072
20130723	USA	CHN	072
20130723	USA	CUB	073
20130723	USA	EGY	070
20130723	USA	EGY	070
20130723	USA	EGY	071
20130723	USA	EGY	071
20130723	USA	EGY	071
20130723	USA	EGY	071
20130723	USA	EGY	071
20130723	USA	EGY	072
