20140815	DEU	DEU	073
20140815	DEU	DEU	073
20140815	DEU	IRQ	070
20140815	DEU	IRQ	070
20140815	DEU	IRQ	070
20140815	DNK	ERI	075
20140815	DNK	ERI	075
20140815	DNK	ERI	075
20140815	DNK	SOM	070
20140815	DNK	SOM	072
20140815	DNK	SOM	072
20140815	DNK	SOM	072
20140815	DNK	USA	071
20140815	DNK	DNK	071
20140815	DNK	RUS	072
20140815	EGY	USA	071
20140815	EGY	USA	071
20140815	EGY	EGY	071
20140815	ESP	LBR	073
20140815	ESP	LBR	073
20140815	ESP	USA	070
20140815	ESP	VEN	071
20140815	ESP	VEN	071
20140815	ESP	ESP	071
20140815	ESP	GBR	071
20140815	ESP	ESP	073
20140815	EUR	POL	073
20140815	EUR	POL	073
20140815	EUR	RUS	071
20140815	EUR	USA	070
20140815	EUR	USA	071
20140815	EUR	USA	071
20140815	FIN	RUS	070
20140815	FIN	RUS	070
20140815	FIN	RUS	070
20140815	FRA	DEU	070
20140815	FRA	DEU	070
20140815	FRA	DEU	070
20140815	FRA	FRA	070
20140815	FRA	FRA	070
20140815	FRA	FRA	071
20140815	FRA	GBR	070
20140815	FRA	IRQ	070
20140815	FRA	IRQ	070
20140815	FRA	IRQ	070
20140815	FRA	IRQ	072
20140815	FRA	IRQ	072
20140815	FRA	IRQ	072
20140815	FRA	IRQ	072
20140815	FRA	IRQ	072
20140815	FRA	IRQ	072
20140815	FRA	MLI	072
20140815	FRA	TWN	070
20140815	FRA	USA	070
20140815	GBR	AUS	073
20140815	GBR	AUS	073
20140815	GBR	AUS	073
20140815	GBR	ESP	071
20140815	GBR	EUR	070
20140815	GBR	EUR	070
20140815	GBR	EUR	071
20140815	GBR	FRA	073
20140815	GBR	FRA	073
20140815	GBR	FRA	073
20140815	GBR	GBR	073
20140815	GBR	GBR	073
20140815	GBR	GBR	070
20140815	GBR	IRN	070
20140815	GBR	IRN	070
20140815	GBR	IRN	072
20140815	GBR	IRQ	070
20140815	GBR	IRQ	070
20140815	GBR	IRQ	070
20140815	GBR	IRQ	070
20140815	GBR	IRQ	072
20140815	GBR	IRQ	073
20140815	GBR	IRQ	073
20140815	GBR	IRQ	073
20140815	GBR	ISR	071
20140815	GBR	ISR	071
20140815	GBR	ITA	071
20140815	GBR	ITA	071
20140815	GBR	LBN	070
20140815	GBR	LBN	070
20140815	GBR	NPL	071
20140815	GBR	SLE	070
20140815	GBR	THA	073
20140815	GBR	UGA	070
20140815	GBR	UGA	070
20140815	GBR	USA	070
20140815	GBR	USA	070
20140815	GBR	USA	073
20140815	GBR	YEM	070
20140815	GBR	GBR	071
20140815	GBR	YEM	070
20140815	GBR	GBR	070
20140815	GBR	ISR	070
20140815	GBR	PSE	070
20140815	GBR	GBR	070
20140815	GHA	AFR	071
20140815	GHA	CHN	070
20140815	GHA	CHN	070
20140815	GHA	CHN	070
20140815	GHA	HTI	070
20140815	GHA	HTI	070
20140815	GHA	HTI	070
20140815	GHA	USA	071
20140815	GHA	USA	071
20140815	GIN	SLE	070
20140815	GIN	SLE	070
20140815	GRC	GRC	071
20140815	GRC	IRN	070
20140815	GRC	PRT	071
20140815	GRC	PRT	071
20140815	GRC	SYR	073
20140815	GRC	IRN	070
20140815	GUY	USA	075
20140815	GUY	USA	075
20140815	GUY	USA	075
20140815	HRV	HRV	070
20140815	HTI	CAN	070
20140815	IDN	CHN	070
20140815	IDN	CHN	070
20140815	IDN	SAU	070
20140815	IDN	SAU	070
20140815	IDN	IDN	073
20140815	IDN	IDN	070
20140815	ASA	USA	071
20140815	EUR	IRQ	070
20140815	EUR	RUS	070
20140815	EUR	RUS	070
20140815	EUR	RUS	070
20140815	EUR	UKR	073
20140815	WST	DNK	070
20140815	WST	DNK	070
20140815	WST	DNK	070
20140815	WST	DNK	070
20140815	WST	DNK	070
20140815	WST	RUS	070
20140815	WST	RUS	070
20140815	WST	USA	072
20140815	IND	IND	070
20140815	IND	IND	071
20140815	IND	USA	073
20140815	IRL	IRL	071
20140815	IRL	IRQ	075
20140815	IRL	USA	071
20140815	IRN	FRA	070
20140815	IRN	IRN	073
20140815	IRN	IRQ	070
20140815	IRN	IRQ	070
20140815	IRN	IRQ	070
20140815	IRN	USA	071
20140815	IRN	USA	072
20140815	IRN	USA	072
20140815	IRN	USA	072
20140815	IRQ	DEU	070
20140815	IRQ	DEU	073
20140815	IRQ	DEU	073
20140815	IRQ	DEU	073
20140815	IRQ	DEU	073
20140815	IRQ	DEU	073
20140815	IRQ	DEU	073
20140815	IRQ	GBR	073
20140815	IRQ	GBR	073
20140815	IRQ	GBR	073
20140815	IRQ	GBR	073
20140815	IRQ	EUR	072
20140815	IRQ	EUR	072
20140815	IRQ	EUR	075
20140815	IRQ	IRL	075
20140815	IRQ	IRN	070
20140815	IRQ	IRN	070
20140815	IRQ	IRN	070
20140815	IRQ	IRN	072
20140815	IRQ	IRN	071
20140815	IRQ	SYR	071
20140815	IRQ	SYR	071
20140815	IRQ	TUR	073
20140815	IRQ	USA	070
20140815	IRQ	USA	071
20140815	IRQ	USA	071
20140815	IRQ	USA	071
20140815	IRQ	USA	071
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	073
20140815	IRQ	USA	070
20140815	IRQ	USA	070
20140815	IRQ	USA	070
20140815	IRQ	USA	070
20140815	IRQ	USA	070
20140815	IRQ	USA	070
20140815	IRQ	IRQ	073
20140815	ISR	CAN	070
20140815	ISR	CAN	070
20140815	ISR	CHL	073
20140815	ISR	IRL	072
20140815	ISR	ISR	071
20140815	ISR	ISR	072
20140815	ISR	LBN	071
20140815	ISR	LBN	071
20140815	ISR	LBN	071
20140815	ISR	PHL	072
20140815	ISR	PSE	070
20140815	ISR	PSE	071
20140815	ISR	PSE	071
20140815	ISR	PSE	071
20140815	ISR	PSE	073
20140815	ISR	RUS	071
20140815	ISR	RUS	075
20140815	ISR	UGA	073
20140815	ISR	USA	071
20140815	ISR	USA	071
20140815	ISR	USA	071
20140815	ISR	USA	071
20140815	ISR	USA	071
20140815	ISR	USA	071
20140815	ISR	ISR	071
20140815	ISR	ISR	071
20140815	ISR	PSE	071
20140815	ISR	USA	072
20140815	ISR	UGA	073
20140815	ISR	ISR	073
20140815	ITA	CHE	070
20140815	ITA	EGY	071
20140815	ITA	EUR	073
20140815	ITA	EUR	073
20140815	ITA	USA	070
20140815	ITA	EGY	071
20140815	JOR	AFR	070
20140815	JOR	IRQ	072
20140815	JOR	IRQ	072
20140815	JOR	IRQ	075
20140815	JOR	IRQ	075
20140815	JOR	IRQ	075
20140815	JOR	SYR	072
20140815	JOR	SYR	072
20140815	JPN	CHN	072
20140815	JPN	JPN	070
20140815	JPN	JPN	070
20140815	JPN	JPN	070
20140815	JPN	NPL	070
20140815	JPN	USA	071
20140815	JPN	JPN	070
20140815	JPN	JPN	070
20140815	JPN	JPN	070
20140815	JPN	JPN	070
20140815	JPN	JPN	070
20140815	KAZ	UKR	073
20140815	KAZ	UKR	073
20140815	KAZ	UKR	073
20140815	KAZ	UKR	073
20140815	KAZ	UKR	073
20140815	KAZ	UKR	073
20140815	KEN	AFR	070
20140815	KEN	AFR	070
20140815	KEN	AFR	071
20140815	KEN	HTI	070
20140815	KEN	HTI	070
20140815	KEN	HTI	070
20140815	KEN	KEN	071
20140815	KEN	USA	071
20140815	KEN	USA	070
20140815	KEN	USA	070
20140815	KHM	AUS	070
20140815	KHM	AUS	070
20140815	KOR	JPN	070
20140815	KOR	JPN	070
20140815	KOR	JPN	070
20140815	KOR	KOR	071
20140815	KOR	USA	070
20140815	KOR	USA	070
20140815	KWT	SYR	072
20140815	KWT	SYR	072
20140815	LBN	LBN	070
20140815	LBN	LBN	072
20140815	LBN	SYR	075
20140815	LBN	SYR	075
20140815	LBN	SYR	075
20140815	LBN	SYR	075
20140815	LBN	SYR	075
20140815	LBN	LBN	070
20140815	LBR	LBR	070
20140815	LBR	SLE	070
20140815	LBR	SLE	070
20140815	LBR	USA	070
20140815	LBR	USA	070
20140815	LBR	USA	070
20140815	LBR	USA	070
20140815	LBR	USA	070
20140815	LBY	MAR	070
20140815	LKA	PSE	071
20140815	LVA	LVA	073
20140815	MAR	ESP	071
20140815	MDA	USA	071
20140815	MEX	USA	072
20140815	MEX	USA	073
20140815	MEX	USA	073
20140815	MEX	USA	072
20140815	BRA	BRA	070
20140815	CHN	CHN	071
20140815	CHN	CHN	071
20140815	KOR	KOR	071
20140815	USA	ESP	071
20140815	USA	ESP	071
20140815	USA	IRL	071
20140815	USA	ITA	071
20140815	USA	ITA	071
20140815	USA	USA	070
20140815	USA	USA	071
20140815	USA	USA	071
20140815	USA	USA	071
20140815	USA	USA	073
20140815	USA	USA	070
20140815	USA	GBR	071
20140815	USA	USA	071
20140815	USA	USA	071
20140815	MYS	MYS	071
20140815	NGA	GBR	073
20140815	NGA	GBR	073
20140815	NGA	GIN	070
20140815	NGA	GIN	070
20140815	NGA	LBR	070
20140815	NGA	LBR	070
20140815	NGA	NGA	073
20140815	NGA	SLE	070
20140815	NGA	SLE	070
20140815	NGA	NGA	073
20140815	NLD	GHA	071
20140815	NLD	IRL	071
20140815	NLD	IRL	071
20140815	NLD	GHA	071
20140815	NMR	CZE	075
20140815	NPL	SGP	070
20140815	NRU	AUS	075
20140815	NRU	AUS	075
20140815	NZL	NZL	071
20140815	PAK	USA	071
20140815	PAK	USA	071
20140815	PAN	USA	070
20140815	PAN	USA	075
20140815	PAN	PAN	075
20140815	PHL	ARE	071
20140815	PHL	AUS	071
20140815	PHL	AUS	071
20140815	PHL	AUS	071
20140815	PHL	JPN	071
20140815	PHL	LBY	073
20140815	PHL	LBY	073
20140815	PHL	LBY	073
20140815	PHL	LBY	073
20140815	PHL	PHL	071
20140815	PHL	PHL	070
20140815	PHL	PHL	070
20140815	PHL	PHL	071
20140815	PHL	USA	071
20140815	PHL	USA	071
20140815	PHL	KHM	071
20140815	PHL	KHM	071
20140815	POL	HUN	070
20140815	POL	POL	070
20140815	POL	USA	070
20140815	PRT	EUR	071
20140815	PRT	EUR	073
20140815	PSE	CHL	073
20140815	PSE	EUR	072
20140815	PSE	IRL	072
20140815	PSE	ISR	070
20140815	PSE	ISR	070
20140815	PSE	ISR	072
20140815	PSE	ISR	072
20140815	PSE	ISR	072
20140815	PSE	ISR	072
20140815	PSE	ISR	072
20140815	PSE	ISR	073
20140815	PSE	ISR	073
20140815	PSE	ISR	073
20140815	PSE	ISR	073
20140815	PSE	ISR	071
20140815	PSE	LBN	071
20140815	PSE	PHL	072
20140815	PSE	USA	072
20140815	PSE	USA	072
20140815	PSE	ISR	070
20140815	PSE	ISR	071
20140815	PSE	ISR	073
20140815	PSE	PSE	073
20140815	QAT	USA	071
20140815	RUS	BRA	070
20140815	RUS	CHE	070
20140815	RUS	CHE	070
20140815	RUS	CHE	070
20140815	RUS	CHE	070
20140815	RUS	CHN	070
20140815	RUS	CHN	070
20140815	RUS	DEU	070
20140815	RUS	DEU	070
20140815	RUS	DEU	070
20140815	RUS	EGY	072
20140815	RUS	EGY	072
20140815	RUS	EUR	073
20140815	RUS	EUR	073
20140815	RUS	GBR	070
20140815	RUS	GBR	070
20140815	RUS	GBR	070
20140815	RUS	GBR	070
20140815	RUS	HUN	071
20140815	RUS	MLI	072
20140815	RUS	MLI	072
20140815	RUS	NOR	070
20140815	RUS	NOR	070
20140815	RUS	RUS	071
20140815	RUS	RUS	070
20140815	RUS	RUS	070
20140815	RUS	SYR	070
20140815	RUS	SYR	070
20140815	RUS	SYR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	072
20140815	RUS	UKR	072
20140815	RUS	UKR	072
20140815	RUS	UKR	072
20140815	RUS	UKR	072
20140815	RUS	UKR	072
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	073
20140815	RUS	UKR	075
20140815	RUS	USA	070
20140815	RUS	USA	070
20140815	RUS	USA	070
20140815	RUS	USA	071
20140815	RUS	USA	072
20140815	RUS	RUS	071
20140815	RUS	RUS	071
20140815	RUS	RUS	071
20140815	RUS	UKR	072
20140815	RUS	UKR	072
20140815	RUS	RUS	070
20140815	RUS	RUS	072
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	070
20140815	RUS	UKR	073
20140815	SAU	EGY	071
20140815	SAU	EGY	071
20140815	SAU	EGY	071
20140815	SAU	EGY	072
20140815	SAU	EGY	072
20140815	SAU	EUR	070
20140815	SAU	EUR	070
20140815	SAU	LBN	070
20140815	SAU	LBN	070
20140815	SAU	SAU	070
20140815	SAU	SAU	070
20140815	SAU	SAU	071
20140815	SAU	USA	071
20140815	SAU	SAU	070
20140815	SDN	SDN	070
20140815	SEA	SEA	070
20140815	SEN	USA	070
20140815	SEN	USA	070
20140815	SEN	USA	070
20140815	SEN	USA	070
20140815	SEN	USA	070
20140815	SEN	USA	070
20140815	SGP	SGP	071
20140815	SHN	JPN	070
20140815	SLB	AUS	071
20140815	SLE	LBR	070
20140815	SLE	LBR	070
20140815	SOM	SOM	071
20140815	SSD	KEN	070
20140815	SSD	KEN	070
20140815	SSD	SDN	070
20140815	SWZ	USA	071
20140815	SYR	DEU	070
20140815	SYR	DEU	070
20140815	SYR	IRQ	073
20140815	SYR	IRQ	073
20140815	SYR	IRQ	073
20140815	SYR	IRQ	073
20140815	SYR	IRQ	073
20140815	SYR	IRQ	073
20140815	SYR	IRQ	073
20140815	SYR	SYR	072
20140815	SYR	SYR	072
20140815	SYR	SYR	072
20140815	SYR	SYR	072
20140815	SYR	SYR	072
20140815	SYR	SYR	070
20140815	THA	THA	073
20140815	TKM	PSE	070
20140815	TKM	PSE	070
20140815	TKM	SYR	075
20140815	TUN	EGY	070
20140815	TUR	IRQ	070
20140815	TUR	IRQ	070
20140815	TUR	IRQ	070
20140815	TUR	IRQ	075
20140815	TUR	ISR	073
20140815	TUR	ISR	073
20140815	TUR	ISR	073
20140815	TUR	PSE	073
20140815	TUR	PSE	073
20140815	TUR	PSE	073
20140815	TUR	PSE	073
20140815	TUR	PSE	073
20140815	TUR	SYR	072
20140815	TUR	SYR	072
20140815	TUR	SYR	072
20140815	TUR	SYR	072
20140815	TUR	TKM	070
20140815	TUR	TKM	070
20140815	TUR	TKM	073
20140815	TUR	TKM	073
20140815	TUR	TUR	070
20140815	TUR	TUR	070
20140815	TZA	TZA	071
20140815	UGA	CAF	072
20140815	UGA	SWE	071
20140815	UGA	SWE	071
20140815	UGA	USA	070
20140815	UGA	USA	070
20140815	UGA	USA	071
20140815	UKR	CHE	070
20140815	UKR	DEU	070
20140815	UKR	DEU	070
20140815	UKR	DEU	070
20140815	UKR	GBR	070
20140815	UKR	GBR	070
20140815	UKR	GBR	070
20140815	UKR	GBR	070
20140815	UKR	GBR	070
20140815	UKR	GBR	070
20140815	UKR	RUS	070
20140815	UKR	RUS	070
20140815	UKR	RUS	070
20140815	UKR	RUS	073
20140815	UKR	RUS	073
20140815	UKR	UKR	073
20140815	UKR	UKR	070
20140815	UKR	USA	073
20140815	UKR	UKR	070
20140815	UKR	UKR	070
20140815	UKR	UKR	073
20140815	UKR	UKR	072
20140815	USA	AFG	070
20140815	USA	AFG	070
20140815	USA	AFG	070
20140815	USA	AFG	071
20140815	USA	AFG	071
20140815	USA	AFG	072
20140815	USA	AFR	070
20140815	USA	AFR	070
20140815	USA	AFR	071
20140815	USA	AFR	075
20140815	USA	AFR	075
20140815	USA	ARG	071
20140815	USA	AUS	070
20140815	USA	AUS	070
20140815	USA	CAN	071
20140815	USA	CAN	071
20140815	USA	CUB	071
20140815	USA	CUB	071
20140815	USA	CZE	075
20140815	USA	DEU	071
20140815	USA	DEU	073
20140815	USA	DEU	073
20140815	USA	DEU	073
20140815	USA	DEU	073
20140815	USA	DEU	073
20140815	USA	DEU	073
20140815	USA	DEU	073
20140815	USA	DEU	073
20140815	USA	DEU	073
20140815	USA	DEU	073
20140815	USA	DEU	073
20140815	USA	ESP	070
20140815	USA	ESP	070
20140815	USA	EUR	071
20140815	USA	FRA	070
20140815	USA	FRA	070
20140815	USA	FRA	070
20140815	USA	FRA	073
20140815	USA	FRA	073
20140815	USA	FRA	073
20140815	USA	GBR	070
20140815	USA	GBR	071
20140815	USA	HTI	071
20140815	USA	HTI	071
20140815	USA	HTI	071
20140815	USA	IRN	070
20140815	USA	IRN	070
20140815	USA	IRN	071
20140815	USA	IRQ	070
20140815	USA	IRQ	070
20140815	USA	IRQ	070
20140815	USA	IRQ	070
20140815	USA	IRQ	070
20140815	USA	IRQ	070
20140815	USA	IRQ	071
20140815	USA	IRQ	071
20140815	USA	IRQ	071
20140815	USA	IRQ	071
20140815	USA	IRQ	072
20140815	USA	IRQ	072
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
20140815	USA	IRQ	073
