20130904	CIV	AFR	071
20130904	CMR	EUR	070
20130904	CMR	CMR	071
20130904	CMR	CMR	071
20130904	CRI	USA	071
20130904	CRI	USA	071
20130904	CUB	CUB	070
20130904	CUB	ITA	070
20130904	CUB	ITA	070
20130904	CUB	CUB	070
20130904	CYP	EGY	070
20130904	CYP	EGY	070
20130904	CYP	CYP	071
20130904	CYP	CYP	071
20130904	DEU	DEU	070
20130904	DEU	DEU	070
20130904	DEU	DEU	070
20130904	DEU	DEU	071
20130904	DEU	EUR	071
20130904	DEU	GBR	071
20130904	DEU	GBR	071
20130904	DEU	GRC	071
20130904	DEU	SGP	071
20130904	DEU	USA	071
20130904	DEU	USA	071
20130904	DEU	GBR	071
20130904	DEU	GBR	071
20130904	DEU	GBR	071
20130904	DEU	GBR	071
20130904	DEU	GBR	071
20130904	DEU	GBR	071
20130904	DJI	SOM	072
20130904	DJI	SOM	072
20130904	DNK	QAT	071
20130904	DNK	SWE	073
20130904	DNK	SWE	073
20130904	DNK	SYR	070
20130904	DNK	SYR	070
20130904	DNK	SYR	070
20130904	DNK	SYR	075
20130904	DNK	SYR	075
20130904	DNK	SYR	070
20130904	DNK	USA	073
20130904	DNK	USA	073
20130904	DNK	LKA	070
20130904	DNK	LKA	070
20130904	DNK	SYR	070
20130904	DNK	SYR	070
20130904	DNK	USA	070
20130904	DNK	USA	070
20130904	DZA	KOR	070
20130904	ECU	AUS	075
20130904	ECU	GBR	075
20130904	EGY	ARE	071
20130904	EGY	ARE	071
20130904	EGY	EGY	071
20130904	EGY	USA	071
20130904	EGY	USA	071
20130904	EGY	USA	072
20130904	EGY	USA	072
20130904	EGY	USA	071
20130904	EGY	EGY	070
20130904	EGY	EGY	071
20130904	EGY	GBR	072
20130904	ETH	ISR	071
20130904	ETH	ISR	071
20130904	ETH	KWT	071
20130904	ETH	KWT	071
20130904	EUR	CHN	071
20130904	EUR	DEU	071
20130904	EUR	DEU	071
20130904	EUR	DEU	071
20130904	EUR	DEU	071
20130904	EUR	GBR	071
20130904	EUR	IRL	071
20130904	EUR	IRQ	071
20130904	EUR	LUX	071
20130904	EUR	SYR	073
20130904	EUR	SYR	075
20130904	EUR	SYR	075
20130904	EUR	SYR	075
20130904	EUR	GRC	071
20130904	FIN	USA	071
20130904	FIN	USA	071
20130904	FJI	AUS	073
20130904	FJI	AUS	073
20130904	FJI	JOR	070
20130904	FJI	JOR	070
20130904	FJI	FJI	070
20130904	FRA	DEU	070
20130904	FRA	DEU	070
20130904	FRA	DEU	070
20130904	FRA	EUR	071
20130904	FRA	FRA	071
20130904	FRA	LBN	074
20130904	FRA	LBN	074
20130904	FRA	MLI	072
20130904	FRA	MLI	072
20130904	FRA	MLI	072
20130904	FRA	MLI	072
20130904	FRA	SYR	070
20130904	FRA	SYR	070
20130904	FRA	SYR	075
20130904	FRA	SYR	075
20130904	FRA	USA	070
20130904	FRA	USA	071
20130904	FRA	USA	073
20130904	FRA	USA	073
20130904	FRA	USA	073
20130904	FRA	USA	073
20130904	FRA	LBN	074
20130904	FRA	LBN	074
20130904	FSM	NZL	073
20130904	GBR	DEU	071
20130904	GBR	EUR	071
20130904	GBR	GBR	071
20130904	GBR	GRC	071
20130904	GBR	GRC	071
20130904	GBR	GRC	071
20130904	GBR	IRL	071
20130904	GBR	ISR	071
20130904	GBR	ITA	071
20130904	GBR	KEN	071
20130904	GBR	KWT	071
20130904	GBR	PSE	071
20130904	GBR	PSE	071
20130904	GBR	SEN	071
20130904	GBR	SYR	070
20130904	GBR	SYR	070
20130904	GBR	TTO	070
20130904	GBR	TUR	071
20130904	GBR	TZA	071
20130904	GBR	USA	071
20130904	GBR	USA	071
20130904	GBR	USA	071
20130904	GBR	USA	071
20130904	GBR	USA	073
20130904	GBR	USA	073
20130904	GBR	USA	071
20130904	GBR	USA	071
20130904	GBR	USA	072
20130904	GBR	USA	071
20130904	GBR	ZMB	070
20130904	GBR	ZMB	070
20130904	GBR	ZMB	070
20130904	GBR	GBR	071
20130904	GBR	GBR	071
20130904	GBR	GBR	071
20130904	GBR	SYR	070
20130904	GBR	SYR	070
20130904	GBR	LCA	073
20130904	GBR	USA	073
20130904	GBR	USA	073
20130904	GBR	USA	072
20130904	GBR	KWT	071
20130904	GHA	BWA	071
20130904	GHA	BWA	071
20130904	GMB	AUS	071
20130904	GMB	AUS	071
20130904	GMB	AUS	071
20130904	GRC	USA	070
20130904	GTM	USA	071
20130904	GTM	USA	071
20130904	HND	USA	071
20130904	HND	USA	071
20130904	HTI	USA	071
20130904	HTI	HTI	071
20130904	HTI	USA	071
20130904	IDN	CHN	073
20130904	IDN	NGA	071
20130904	IDN	NGA	071
20130904	IDN	USA	071
20130904	IDN	NGA	071
20130904	EUR	BGR	071
20130904	EUR	CYP	070
20130904	EUR	EUR	071
20130904	EUR	FRA	071
20130904	EUR	GRC	071
20130904	EUR	IRL	070
20130904	EUR	IRL	071
20130904	EUR	IRL	071
20130904	EUR	LUX	071
20130904	EUR	LUX	071
20130904	EUR	LUX	071
20130904	SAF	AFR	070
20130904	SEA	CHN	070
20130904	WST	TUR	070
20130904	IND	MMR	071
20130904	IND	IND	072
20130904	IRL	EUR	071
20130904	IRL	EUR	071
20130904	IRL	GBR	070
20130904	IRL	IRL	070
20130904	IRL	SYR	075
20130904	IRL	SYR	075
20130904	IRL	IRL	070
20130904	IRL	IRL	071
20130904	IRN	AFG	070
20130904	IRN	AFG	070
20130904	IRN	IRN	072
20130904	IRN	LBN	071
20130904	IRN	LBN	071
20130904	IRN	SYR	070
20130904	IRN	SYR	070
20130904	IRN	SYR	070
20130904	IRN	SYR	072
20130904	IRN	SYR	072
20130904	IRN	SYR	072
20130904	IRN	SYR	072
20130904	IRN	SYR	073
20130904	IRN	SYR	071
20130904	IRN	SYR	071
20130904	IRN	SYR	073
20130904	IRN	SYR	073
20130904	IRN	SYR	070
20130904	IRQ	CHN	071
20130904	IRQ	CHN	071
20130904	IRQ	IRN	070
20130904	IRQ	JOR	070
20130904	IRQ	JOR	070
20130904	IRQ	JOR	070
20130904	IRQ	JOR	070
20130904	IRQ	SYR	071
20130904	ISR	EGY	072
20130904	ISR	ETH	070
20130904	ISR	ETH	070
20130904	ISR	ETH	075
20130904	ISR	ETH	075
20130904	ISR	ETH	075
20130904	ISR	ETH	075
20130904	ISR	RUS	071
20130904	ISR	RUS	071
20130904	ISR	SYR	071
20130904	ISR	TUR	071
20130904	ISR	USA	070
20130904	ISR	USA	070
20130904	ISR	USA	071
20130904	ISR	USA	071
20130904	ISR	USA	071
20130904	ISR	USA	071
20130904	ISR	RUS	071
20130904	ISR	RUS	071
20130904	ITA	ALB	075
20130904	ITA	ALB	075
20130904	ITA	ESP	071
20130904	ITA	ESP	071
20130904	ITA	ESP	071
20130904	ITA	ISR	070
20130904	ITA	PSE	070
20130904	ITA	PSE	070
20130904	ITA	PSE	071
20130904	ITA	PSE	071
20130904	ITA	SYR	071
20130904	ITA	USA	070
20130904	ITA	USA	070
20130904	ITA	USA	070
20130904	ITA	USA	070
20130904	ITA	USA	073
20130904	ITA	USA	073
20130904	ITA	USA	070
20130904	JOR	EGY	070
20130904	JOR	IRQ	070
20130904	JOR	IRQ	070
20130904	JOR	LBN	073
20130904	JOR	SYR	070
20130904	JOR	SYR	070
20130904	JOR	SYR	070
20130904	JOR	USA	071
20130904	JOR	GBR	073
20130904	JPN	ARG	071
20130904	JPN	CHN	071
20130904	JPN	CHN	071
20130904	JPN	DEU	070
20130904	JPN	DEU	070
20130904	JPN	DEU	070
20130904	JPN	GBR	073
20130904	JPN	KHM	071
20130904	JPN	MMR	071
20130904	JPN	MMR	071
20130904	JPN	SYR	072
20130904	JPN	SYR	072
20130904	JPN	THA	071
20130904	JPN	THA	071
20130904	JPN	USA	071
20130904	JPN	USA	071
20130904	JPN	USA	071
20130904	JPN	USA	071
20130904	JPN	USA	071
20130904	JPN	USA	071
20130904	JPN	USA	071
20130904	JPN	USA	071
20130904	JPN	USA	073
20130904	JPN	JPN	071
20130904	JPN	JPN	071
20130904	JPN	KHM	070
20130904	JPN	KHM	070
20130904	KEN	BDI	071
20130904	KEN	KEN	070
20130904	KEN	KEN	070
20130904	KEN	SOM	072
20130904	KEN	SOM	072
20130904	KGZ	EUR	070
20130904	KHM	JPN	070
20130904	KHM	KHM	071
20130904	KOR	DZA	070
20130904	KOR	USA	071
20130904	KOR	DZA	070
20130904	LBN	LBN	070
20130904	LBN	SYR	072
20130904	LBN	SYR	075
20130904	LBN	SYR	075
20130904	LBN	SYR	073
20130904	LBN	SYR	073
20130904	LBN	USA	070
20130904	LBN	USA	070
20130904	LBN	USA	073
20130904	LBN	CHE	073
20130904	LBN	CHE	073
20130904	LBR	LBR	071
20130904	LBR	LBR	071
20130904	LCA	GBR	070
20130904	LCA	USA	070
20130904	LTU	LTU	071
20130904	LUX	EUR	073
20130904	LUX	SEA	071
20130904	LVA	UKR	071
20130904	LVA	UKR	071
20130904	LVA	UKR	071
20130904	LVA	UKR	071
20130904	MEX	COL	071
20130904	MEX	DEU	070
20130904	MEX	DEU	070
20130904	MEX	DEU	070
20130904	MEX	USA	073
20130904	MEX	USA	073
20130904	MEX	MEX	070
20130904	MEX	MEX	070
20130904	MLI	USA	071
20130904	MLT	MLT	073
20130904	MLT	MLT	073
20130904	MMR	MMR	070
20130904	MMR	MMR	071
20130904	MMR	MYS	070
20130904	MMR	MMR	070
20130904	CHN	ISR	071
20130904	FIN	FIN	071
20130904	GBR	EUR	071
20130904	GRC	GRC	071
20130904	JPN	CHN	070
20130904	JPN	PNG	071
20130904	JPN	PNG	071
20130904	KOR	KOR	071
20130904	KOR	KOR	071
20130904	KOR	USA	071
20130904	KOR	USA	071
20130904	KOR	USA	071
20130904	KOR	USA	071
20130904	KOR	USA	072
20130904	USA	AFR	070
20130904	USA	AFR	071
20130904	USA	CHN	071
20130904	USA	EUR	071
20130904	USA	EUR	071
20130904	USA	FIN	071
20130904	USA	FSM	071
20130904	USA	IRL	071
20130904	USA	IRQ	071
20130904	USA	ISR	071
20130904	USA	KEN	071
20130904	USA	MDG	071
20130904	USA	MDG	071
20130904	USA	FIN	071
20130904	USA	FIN	071
20130904	USA	FIN	071
20130904	USA	MOZ	071
20130904	USA	USA	070
20130904	USA	USA	070
20130904	USA	USA	070
20130904	USA	USA	071
20130904	USA	USA	071
20130904	USA	USA	071
20130904	USA	USA	071
20130904	USA	ZMB	071
20130904	USA	ZMB	071
20130904	USA	USA	071
20130904	USA	USA	071
20130904	USA	USA	071
20130904	USA	USA	071
20130904	MYS	SGP	071
20130904	MYS	SGP	071
20130904	MYS	MYS	071
20130904	MYS	MYS	071
20130904	NGA	NGA	071
20130904	NGA	NGA	070
20130904	NGA	NGA	070
20130904	USA	USA	071
20130904	USA	USA	073
20130904	USA	USA	070
20130904	USA	USA	070
20130904	NIC	USA	071
20130904	NIC	USA	071
20130904	NLD	BEL	072
20130904	NLD	EUR	071
20130904	NLD	IRL	071
20130904	NLD	USA	070
20130904	NLD	USA	071
20130904	NLD	USA	071
20130904	NMR	USA	071
20130904	NOR	GBR	071
20130904	NOR	GBR	071
20130904	NOR	ISR	071
20130904	NOR	AFG	073
20130904	NZL	AUS	071
20130904	NZL	SGP	071
20130904	NZL	USA	070
20130904	NZL	USA	070
20130904	NZL	USA	071
20130904	NZL	COK	071
20130904	NZL	COK	071
20130904	NZL	KIR	071
20130904	NZL	KIR	071
20130904	NZL	MHL	071
20130904	NZL	NZL	071
20130904	NZL	NZL	071
20130904	NZL	NZL	071
20130904	NZL	NZL	071
20130904	NZL	NZL	071
20130904	NZL	TUV	071
20130904	NZL	TUV	071
20130904	PAK	AFG	072
20130904	PAK	AFG	072
20130904	PAK	AFG	072
20130904	PAK	FRA	072
20130904	PAK	IDN	070
20130904	PAK	IDN	070
20130904	PAK	IDN	070
20130904	PAK	IDN	070
20130904	PAK	PAK	072
20130904	PAK	PAK	072
20130904	PAK	PAK	072
20130904	PAN	USA	070
20130904	PAN	USA	070
20130904	PAN	USA	071
20130904	PAN	USA	071
20130904	PGS	KWT	071
20130904	PGS	KWT	071
20130904	PHL	CHN	071
20130904	PHL	NLD	071
20130904	PHL	NLD	071
20130904	PHL	PHL	071
20130904	POL	POL	071
20130904	POL	USA	071
20130904	POL	POL	071
20130904	PRT	DEU	070
20130904	PRT	DEU	070
20130904	PRT	DEU	070
