19790206	USA	GUY	070
19790206	VNM	CHN	071
19790207	ARE	MAR	071
19790207	IRN	OMN	070
19790208	ETH	ETH	070
19790208	GBR	NPL	070
19790208	IRQ	SYR	070
19790208	JPN	IDN	070
19790208	JPN	IDN	070
19790208	JPN	IDN	070
19790208	JPN	IDN	070
19790208	PER	CHL	071
19790208	PER	CHL	071
19790208	PER	CHL	071
19790208	RUS	CHN	072
19790208	RUS	CHN	072
19790209	FRA	ESP	075
19790209	FRA	ESP	075
19790209	FRA	ESP	075
19790209	GBR	CHN	072
19790209	RUS	KHM	073
19790209	USA	CAN	071
19790209	USA	CAN	071
19790209	USA	WST	072
19790209	USA	USA	070
19790210	CHN	KHM	072
19790210	CHN	KHM	072
19790210	CHN	KHM	072
19790210	CHN	KHM	072
19790210	CHN	KHM	072
19790210	CHN	KHM	072
19790210	IRQ	SYR	071
19790210	KHM	USA	070
19790210	KHM	USA	070
19790210	RUS	CHN	073
19790210	VNM	USA	070
19790211	SYR	IRQ	070
19790211	VEN	VEN	071
19790212	BWA	ZMB	073
19790212	CHN	VNM	070
19790212	CHN	VNM	070
19790212	CHN	VNM	070
19790212	NLD	ZWE	071
19790212	POL	POL	070
19790212	ZWE	BWA	073
19790213	BWA	ZMB	073
19790213	SAU	YEM	070
19790213	SAU	YEM	071
19790213	SAU	YEM	070
19790213	SAU	YEM	070
19790213	SAU	YEM	070
19790213	SAU	YEM	071
19790214	CHE	BEL	070
19790214	GBR	AFR	070
19790214	GBR	AFR	070
19790214	HUN	KHM	070
19790214	HUN	KHM	070
19790214	KHM	HUN	070
19790214	SDN	LBN	072
19790214	SDN	SDN	072
19790214	SDN	SDN	072
19790214	VNM	CHN	070
19790214	ZAF	AFR	070
19790214	CHE	BEL	070
19790214	CHE	BEL	070
19790215	FRA	TCD	075
19790215	FRA	TCD	075
19790216	BWA	USA	073
19790216	RUS	USA	073
19790216	TCD	TCD	072
19790216	TZA	TZA	070
19790216	USA	IRN	073
19790216	USA	USA	073
19790217	MMR	ASA	070
19790217	SEA	VNM	070
19790217	DNK	SEN	071
19790217	DNK	SEN	071
19790217	MMR	ASA	070
19790218	CHN	CHN	072
19790218	JPN	USA	073
19790218	JPN	USA	073
19790218	JPN	USA	073
19790218	JPN	USA	073
19790218	TZA	UGA	072
19790218	TZA	UGA	072
19790218	VNM	THA	074
19790218	VNM	THA	074
19790219	CHE	POL	070
19790219	CHE	POL	070
19790219	CHE	POL	070
19790219	CHN	VNM	070
19790219	CHN	VNM	070
19790219	LAO	CHN	070
19790219	LAO	CHN	070
19790219	LAO	CHN	070
19790219	LAO	VNM	070
19790219	LAO	VNM	070
19790219	LAO	VNM	070
19790219	LAO	VNM	070
19790219	SAU	ISR	070
19790219	SAU	ISR	070
19790219	SEA	VNM	070
19790219	SEA	VNM	070
19790219	USA	VNM	070
19790219	USA	VNM	070
19790219	USA	VNM	070
19790220	AFR	GHA	070
19790220	AFR	GHA	070
19790220	FIN	SOM	070
19790220	GHA	NAM	072
19790220	GHA	NAM	072
19790220	NAM	GHA	070
19790220	RUS	VNM	070
19790220	RUS	VNM	070
19790220	FIN	SOM	070
19790221	CAN	CAN	073
19790221	CAN	CAN	073
19790221	ZMB	ZMB	070
19790222	BGD	BGD	070
19790222	CHN	VNM	072
19790222	LAO	VNM	072
19790222	LAO	VNM	072
19790222	PRT	USA	071
19790222	PRT	USA	071
19790222	VNM	CHN	072
19790222	THA	THA	071
19790223	CHN	CHN	072
19790223	CHN	VNM	072
19790223	CHN	VNM	072
19790223	CHN	CHN	072
19790223	MOZ	MOZ	070
19790223	SAU	TGO	071
19790223	VNM	LAO	072
19790223	VNM	LAO	072
19790223	VNM	LAO	072
19790223	SAU	TGO	071
19790223	SAU	TGO	071
19790224	CHN	CHN	072
19790224	DEU	MOZ	070
19790224	RUS	POL	070
19790225	CAN	CHN	072
19790225	CAN	CHN	072
19790225	CAN	CHN	072
19790225	JPN	IDN	070
19790225	JPN	IDN	070
19790225	JPN	IDN	070
19790225	JPN	IDN	070
19790226	POL	DEU	070
19790226	RUS	VNM	073
19790227	GBR	IRN	071
19790227	GBR	IRN	071
19790227	QAT	KWT	070
19790227	QAT	KWT	070
19790227	SAU	KWT	070
19790227	SAU	KWT	070
19790228	KWT	QAT	070
19790228	SAU	KWT	070
19790228	SAU	QAT	070
19790228	VNM	KHM	072
19790228	KWT	QAT	070
19790228	KWT	QAT	070
19790228	SAU	KWT	070
19790228	SAU	KWT	070
19790228	SAU	QAT	070
19790301	CHN	JPN	071
19790301	CHN	JPN	071
19790301	GBR	ZWE	072
19790301	USA	MEX	071
19790302	CHN	VNM	072
19790302	CHN	VNM	072
19790302	SAU	USA	072
19790302	SAU	USA	072
19790303	HUN	PRT	070
19790303	HUN	PRT	070
19790303	HUN	PRT	070
19790304	CHN	VNM	072
19790306	LAO	LAO	070
19790306	VNM	CHN	070
