20151207	HUN	HUN	071
20151207	IRL	IRL	073
20151207	IRL	IRL	073
20151207	PAK	AFG	075
20151207	SYR	SYR	073
20151207	TUR	IRQ	070
20151207	TUR	QAT	071
20151207	TUR	QAT	071
20151207	USA	ARG	071
20151207	USA	ARG	071
20151207	USA	ARG	071
20151207	USA	ARG	071
20151207	USA	ITA	070
20151207	USA	ITA	070
20151207	VCT	AUS	070
20151207	VNM	CHN	070
20151207	FRA	SWE	071
20151207	IRN	YEM	071
20151207	IRN	YEM	071
20151207	USA	USA	073
20151207	USA	USA	070
20151207	USA	USA	073
20151207	USA	PHL	070
20151130	IRQ	TUR	072
20151130	TUR	IRQ	072
20151207	AUS	USA	073
20151207	CHN	CHN	071
20151207	IRQ	IRN	072
20151207	NGA	NGA	073
20151207	NGA	NGA	070
20151207	SYR	SYR	073
20151207	SYR	SYR	073
20151207	BRA	MEX	071
20151207	BRA	MEX	071
20151207	IRQ	IRN	072
20151207	KOR	MEX	071
20151207	USA	DZA	071
20151207	NGA	USA	071
20151207	NGA	USA	071
20151207	SYR	SYR	075
20151207	TUR	SYR	072
20151207	TUR	SYR	072
20151207	TUR	VCT	073
20151207	USA	IRQ	072
20151207	USA	SYR	072
20141207	USA	USA	070
20151207	CAN	CAN	071
20151207	SGP	PHL	072
20151207	RUS	FRA	070
20151207	TUR	IRQ	070
20151207	TUR	IRQ	070
20151207	TUR	IRQ	070
20151207	UGA	AFR	070
20151207	USA	CAN	071
20151207	USA	SYR	072
20151207	USA	SYR	072
20151207	AFG	KAZ	072
20151207	AFG	KGZ	072
20151207	AFG	KGZ	072
20151207	AFG	PAK	072
20151207	AFG	PAK	072
20151207	AFG	UZB	072
20151207	AFG	UZB	072
20151207	AUS	USA	073
20151207	AUS	USA	073
20151207	CAN	SYR	075
20151207	CAN	SYR	075
20151207	CAN	SYR	075
20151207	CAN	SYR	075
20151207	DEU	SAU	071
20151207	DEU	SAU	071
20151207	GBR	USA	073
20151207	USA	NGA	071
20151207	USA	NGA	071
20151207	USA	NGA	071
20151207	NGA	USA	071
20151207	USA	IRQ	072
20151207	USA	USA	071
20151207	USA	CAF	070
20151207	USA	CAF	070
20151207	USA	USA	070
20151207	CHN	AFR	073
20151207	JPN	KNA	070
20151207	JPN	KNA	070
20151207	USA	USA	070
20151207	USA	RUS	070
20151207	USA	RUS	070
20151207	AUS	FRA	071
20151207	DEU	SAU	071
20151207	DEU	USA	071
20151207	RUS	UGA	071
20151207	SGP	SGP	072
20151207	SOM	SOM	073
20151207	SYR	SYR	075
20151207	TUR	IRQ	072
20151207	USA	IRQ	072
20151207	USA	IRQ	072
20151207	USA	USA	071
20151207	USA	IRQ	072
20151207	AZE	ARM	073
20151207	FRA	SWE	071
20151207	GBR	SDN	071
20151207	GBR	SDN	071
20151207	ITA	EUR	073
20151207	TUR	IRQ	070
20151207	USA	CHN	070
20151207	USA	IRQ	072
20151207	USA	SYR	072
20151207	USA	SYR	072
20151207	ESP	GBR	071
20151207	AFG	AFG	072
20151207	AFR	USA	071
20151207	CAN	LBY	075
20151207	ETH	SDN	074
20151207	ETH	SSD	074
20151207	GBR	THA	070
20151207	ITA	USA	071
20151207	PSE	ISR	072
20151207	SOM	ETH	075
20151207	SOM	ETH	075
20151207	SOM	ETH	075
20151207	SOM	ETH	075
20151207	USA	IRQ	072
20151207	USA	IRQ	072
20151207	USA	IRQ	072
20151207	USA	IRQ	072
20151207	USA	IRQ	072
20151207	USA	ISR	070
20151207	USA	ISR	070
20151207	USA	NGA	071
20151207	USA	USA	073
20151207	USA	USA	071
20151207	USA	VNM	071
20151207	USA	VNM	071
20151207	USA	AFG	072
20151207	USA	PAK	072
20151207	USA	USA	071
20151207	USA	USA	071
20151207	USA	USA	071
20151207	USA	USA	071
20151207	USA	USA	071
20151207	USA	USA	072
20151207	ARE	ARE	071
20151207	CHE	LIE	075
20151207	CHE	LIE	075
20151207	CHE	LIE	075
20151207	CUB	MEX	071
20151207	CUB	MEX	071
20151207	DEU	SAU	071
20151207	DNK	DEU	070
20151207	DNK	DEU	070
20151207	GBR	DEU	070
20151207	GBR	SYR	070
20151207	GRC	EUR	071
20151207	GRC	EUR	071
20151207	GRD	CHN	071
20151207	WST	SYR	072
20151207	WST	SYR	072
20151207	JPN	FRA	073
20151207	JPN	FRA	073
20151207	JPN	FRA	073
20151207	JPN	USA	073
20151207	JPN	USA	073
20151207	NGA	NGA	071
20151207	SYR	IRQ	072
20151207	USA	IRQ	072
20151207	USA	SWE	073
20151207	USA	SWE	073
20151207	USA	USA	070
20151207	USA	DEU	070
20151207	USA	DEU	070
20151207	USA	DEU	070
20151207	USA	FRA	070
20151207	USA	FRA	070
20151207	USA	GBR	070
20151207	USA	GBR	070
20151207	USA	GBR	070
20151207	USA	USA	070
20151207	AUS	CHN	071
20151207	CHN	KEN	071
20151207	DEU	SYR	075
20151207	DEU	SYR	075
20151207	GBR	GBR	071
20151207	GBR	GBR	071
20151207	GBR	GBR	071
20151207	USA	USA	071
20151207	USA	USA	071
20151207	USA	USA	070
20151207	USA	USA	071
20151207	USA	USA	070
20151207	USA	USA	070
20151207	USA	USA	070
20151207	USA	USA	070
20151207	USA	USA	070
20151130	USA	USA	071
20151130	USA	USA	071
20151206	ZWE	ZWE	070
20151207	AUS	AUS	071
20151207	GBR	GBR	071
20151207	EUR	GRC	071
20151207	EUR	LKA	070
20151207	IRL	GBR	070
20151207	IRL	GHA	070
20151207	LUX	NPL	071
20151207	MWI	FRA	070
20151207	MWI	FRA	070
20151207	USA	SYR	073
20151207	USA	SYR	073
20151207	USA	SYR	073
20151207	USA	SYR	073
20151207	USA	SYR	072
20151207	USA	USA	070
20151207	ZWE	ZWE	070
20151207	ARE	ARE	071
20151207	ARE	IND	071
20151207	ARE	IND	071
20151207	DEU	POL	071
20151207	ISR	ISR	071
20151207	ISR	ISR	071
20151207	ISR	SAU	073
20151207	ISR	SAU	073
20151207	ISR	SAU	073
20151207	USA	USA	071
20151130	USA	USA	071
20151207	AUS	AUS	070
20151207	AUS	AUS	070
20151207	IND	IND	070
20151207	IND	IND	073
20151207	UKR	UKR	072
20151207	UKR	RUS	072
20151207	USA	SYR	075
20151207	USA	SYR	075
20151207	USA	SYR	075
20151207	USA	ISR	073
20151207	USA	SYR	075
20151207	USA	USA	071
20151207	USA	GBR	071
20151207	USA	GBR	071
20151107	SYR	USA	071
20151107	SYR	USA	071
20151207	CAN	USA	071
20151207	CAN	USA	071
20151207	CZE	CZE	071
20151207	CZE	MLI	072
20151207	CZE	MLI	072
20151207	CZE	MLI	072
20151207	CZE	MLI	072
20151207	CZE	CZE	071
20151207	CZE	CZE	071
20151207	ESP	GBR	071
20151207	EUR	MLT	071
20151207	USA	NGA	071
20151207	TUR	AUS	071
20151207	USA	ESP	071
20151207	USA	IRQ	072
20151207	USA	USA	071
20151207	USA	USA	075
20151207	USA	SYR	072
20151130	USA	IRQ	072
20151207	IRQ	IRQ	071
20151207	IRQ	IRQ	071
20151207	USA	IRL	070
20151207	USA	IRL	071
20151207	USA	USA	070
20151207	USA	USA	070
20151207	USA	PAK	071
20151207	CHN	CHN	071
20151207	GBR	USA	071
20151207	GBR	USA	071
20151207	GBR	USA	071
20151207	GBR	USA	071
20151207	IRQ	TUR	072
20151207	ITA	ITA	073
20151207	USA	USA	070
20151207	USA	USA	070
20151207	RUS	SYR	072
20151207	USA	SYR	073
20151207	USA	SYR	073
20151207	USA	USA	073
20151207	USA	USA	073
20151207	USA	USA	071
20151207	USA	USA	070
20151207	USA	USA	073
20151207	USA	USA	073
20141207	DEU	WST	070
20141207	DEU	WST	070
20141207	DEU	WST	070
20151207	BEN	FRA	071
20151207	BEN	FRA	071
20151207	CHN	CHN	071
20151207	DEU	EST	070
20151207	DEU	EST	070
20151207	DEU	EST	070
20151207	DEU	EST	070
20151207	GBR	FRA	073
20151207	GBR	FRA	073
20151207	GBR	FRA	073
20151207	HRV	SRB	070
20151207	HRV	SRB	070
20151207	JPN	FRA	073
20151207	JPN	USA	073
20151207	MYS	AUS	072
20151207	MYS	AUS	072
20151207	NOR	SOM	070
20151207	NZL	IRQ	072
20151207	NZL	IRQ	072
20151207	NZL	IRQ	072
20151207	RWA	RWA	070
20151207	SGP	MUS	071
20151207	SGP	MUS	071
20151207	SWE	SWE	070
20151207	TUR	USA	070
20151207	USA	USA	070
20151207	CAN	CAN	070
20151207	CHN	AFR	071
20151207	CHN	ZAF	071
20151207	CHN	ZAF	071
20151207	CHN	ZWE	071
20151207	CHN	USA	071
20151207	DEU	SYR	072
20151207	DEU	SYR	072
20151207	ESP	USA	071
20151207	GBR	DEU	070
20151207	GBR	DEU	070
20151207	GBR	DEU	070
20151207	GUY	GUY	070
20151207	ISR	PSE	070
20151207	ISR	PSE	070
20151207	MDV	MYS	070
20151207	PSE	ISR	070
20151207	USA	USA	071
20151207	USA	USA	071
20151207	USA	BGD	070
20151207	USA	BGD	070
20151207	AFR	CHN	070
20151207	AFR	AFR	073
20151207	CAN	USA	070
20151207	CAN	USA	070
20151207	DEU	FRA	072
20151207	EUR	GRC	070
20151207	SGP	CHN	071
20151207	SGP	CHN	071
20151207	SGP	CHN	071
20151207	SYR	IRQ	072
20151207	USA	CAN	070
20151207	USA	SYR	073
20151207	USA	SYR	073
20151207	USA	IRQ	072
20151207	USA	IRQ	072
20151207	USA	SYR	072
20151207	USA	SYR	072
20151207	USA	SYR	072
20151207	USA	USA	072
20151207	AUS	NZL	073
20151207	AUS	NZL	073
20151207	CAN	USA	071
20151207	CAN	USA	071
20151207	CHN	EUR	070
20151207	CHN	EUR	070
20151207	CHN	EUR	070
20151207	ESP	GBR	071
20151207	EUR	GBR	071
20151207	EUR	GBR	071
20151207	GBR	ARM	070
20151207	GBR	ARM	070
20151207	GBR	GBR	071
20151207	GBR	GBR	071
20151207	GBR	RUS	071
20151207	GBR	RUS	071
20151207	WST	SYR	072
20151207	IRL	GBR	073
20151207	IRQ	IRQ	072
20151207	IRQ	IRQ	072
20151207	IRQ	IRQ	072
20151207	IRQ	IRQ	072
20151207	IRQ	IRQ	072
20151207	PRT	USA	071
20151207	SYR	SYR	075
20151207	SYR	SYR	075
20151207	USA	CAN	070
20151207	USA	CAN	070
20151207	USA	EUR	070
20151207	USA	EUR	070
20151207	USA	ISR	070
20151130	CAN	SYR	073
20151130	CAN	SYR	073
20151207	AFR	BWA	071
20151207	AFR	BWA	071
20151207	ARE	ARE	071
20151207	ARE	IND	071
20151207	ARE	IND	071
20151207	ARE	ARE	071
20151207	AUS	USA	073
20151207	CAN	SYR	073
20151207	CHN	KEN	071
20151207	EUR	GRC	070
20151207	IRQ	IRQ	072
20151207	IRQ	IRQ	072
20151207	USA	CHE	071
20151207	USA	GRC	075
20151207	USA	GRC	075
20151207	USA	USA	072
20151207	AUS	AUS	073
20151207	BDI	BDI	071
20151207	IRQ	IRQ	072
20151207	MYS	AUS	072
20151207	AUS	USA	070
20151207	DEU	MLI	072
20151207	DEU	MLI	072
20151207	DEU	SYR	072
20151207	DEU	SYR	072
20151207	DEU	SYR	072
20151207	FRA	CHN	071
20151207	WST	MLI	072
20151207	ISR	KEN	072
20151207	ISR	KEN	072
20151207	KEN	UGA	073
20151207	KEN	UGA	073
20151207	NPL	NPL	071
20151207	USA	USA	070
20151207	USA	POL	070
20151207	USA	POL	070
20151207	USA	USA	072
20151207	USA	LBN	070
20151207	USA	LBN	070
20151207	BLR	EST	070
20151207	BLR	EST	070
20151207	BLR	EST	070
20151207	GBR	RUS	071
20151207	GBR	RUS	071
20151207	WST	SYR	072
20151207	IRN	SYR	072
20151207	IRN	SYR	072
