20150511	KOR	PRK	072
20150511	NPL	AUS	073
20150511	SAU	MYS	072
20150511	SAU	SAU	072
20150511	USA	FRA	071
20150511	USA	FRA	071
20150511	USA	USA	071
20150511	USA	USA	071
20150511	USA	USA	071
20150511	VNM	VNM	070
20150511	VNM	VNM	070
20150511	SAU	MAR	071
20150511	SAU	MAR	071
20150511	USA	CHN	071
20150511	USA	DZA	073
20150511	USA	USA	070
20150511	USA	CHN	071
20150511	USA	USA	070
20150511	USA	USA	071
20140511	AUS	CHN	070
20150511	AFG	AFG	072
20150511	BGD	IDN	073
20150511	CHN	BLR	071
20150511	FRA	IDN	073
20150511	KWT	USA	071
20150511	KWT	USA	071
20150511	LBY	GBR	071
20150511	LBY	USA	071
20150511	USA	IRQ	070
20150511	USA	IRQ	070
20150511	ARE	ARE	070
20150511	CAN	LBR	070
20150511	CAN	LBR	070
20150511	CAN	ZWE	070
20150511	CAN	ZWE	070
20150511	DEU	DEU	071
20150511	DEU	USA	072
20150511	DEU	USA	072
20150511	HTI	HTI	070
20150511	ISR	PSE	071
20150511	MWI	MWI	070
20150511	SYR	IRQ	075
20150511	SYR	IRQ	075
20150511	USA	CAN	070
20150511	USA	CAN	070
20150511	USA	LBR	070
20150511	USA	LBR	070
20150511	USA	ZWE	070
20150511	USA	ZWE	070
20150511	USA	ZWE	070
20150511	USA	USA	070
20150511	USA	USA	070
20150511	USA	USA	070
20150504	USA	USA	071
20150511	EUR	MLI	075
20150511	GBR	GBR	071
20150511	GBR	GBR	070
20150511	USA	ITA	070
20150511	USA	ITA	070
20150511	USA	USA	073
20150511	USA	USA	070
20150511	USA	HTI	070
20150511	USA	USA	070
20150411	AUS	AUS	071
20150511	AUS	AUS	071
20150511	KOR	USA	072
20150511	LIE	AUT	071
20150511	LIE	AUT	071
20150511	LIE	AUT	071
20150511	MMR	IDN	073
20150511	NZL	NPL	071
20150511	NZL	NPL	071
20150511	PAK	PAK	073
20150511	USA	USA	073
20150511	ARE	ARE	073
20150511	ARE	ARE	073
20150511	ARE	ARE	073
20150511	BWA	UGA	070
20150511	BWA	UGA	070
20150511	CAN	USA	071
20150511	DEU	DEU	073
20150511	MOZ	UGA	070
20150511	MOZ	UGA	070
20150511	NAM	UGA	070
20150511	NAM	UGA	070
20150511	NPL	NPL	071
20150511	NPL	NPL	071
20150511	PSE	ISR	070
20150511	RUS	FRA	070
20150511	RUS	FRA	070
20150511	RUS	GBR	070
20150511	RUS	USA	070
20150511	RUS	USA	070
20150511	TZA	UGA	070
20150511	TZA	UGA	070
20150511	USA	AUS	070
20150511	USA	HTI	070
20150511	USA	USA	071
20150511	USA	POL	070
20150511	USA	USA	070
20150511	USA	HTI	070
20150511	BGD	MMR	073
20150511	BGD	MMR	073
20150511	CHN	AUS	071
20150511	CHN	AUS	071
20150511	HTI	HTI	070
20150511	HTI	HTI	070
20150511	IDN	MMR	073
20150511	IDN	MMR	073
20150511	IND	SGP	071
20150511	IRL	IRL	071
20150511	IRN	YEM	073
20150511	IRN	YEM	073
20150511	NPL	LKA	070
20150511	NPL	LKA	070
20150511	NPL	LKA	073
20150511	NPL	LKA	073
20150511	NZL	NPL	071
20150511	PAK	SAU	071
20150511	PAK	SAU	071
20150511	PAK	SAU	071
20150511	TUR	DEU	070
20150511	USA	EUR	070
20150511	USA	USA	073
20150511	USA	USA	073
20150511	EGY	EGY	073
20150511	EGY	EGY	073
20150511	ETH	LBY	073
20150511	ETH	LBY	073
20150511	GBR	USA	070
20150511	USA	GBR	071
20150511	ZMB	BWA	070
20150511	CIV	USA	070
20150511	IDN	BGD	073
20150511	IDN	BGD	073
20150511	IRN	IRQ	070
20150511	MYS	SAU	072
20150511	MYS	SAU	072
20150511	MYS	SAU	072
20150511	NGA	NGA	073
20150511	NMR	EUR	070
20150511	USA	EUR	070
20150511	USA	USA	070
20150511	USA	USA	070
20150511	AFG	CHN	070
20150511	AFG	CHN	070
20150511	AFR	KEN	071
20150511	AFR	KEN	071
20150511	ARE	ARE	070
20150511	CAN	CAN	071
20150511	CAN	USA	070
20150511	GBR	FRA	073
20150511	JPN	JPN	070
20150511	USA	DNK	070
20150511	NOR	UKR	070
20150511	PAK	SAU	071
20150511	PAK	SAU	071
20150511	PRT	GBR	070
20150511	PRT	GBR	070
20150511	SGP	MDV	070
20150511	SGP	NPL	070
20150511	SGP	SGP	070
20150511	USA	MMR	070
20150511	AFG	IRN	075
20150511	AFR	YEM	073
20150511	AFR	YEM	073
20150511	DEU	IRL	071
20150511	EUR	IRL	071
20150511	IRL	DEU	071
20150511	IRL	EUR	071
20150511	JPN	MEX	071
